sha,date,author,message,files_changed
fdfb79477b10fbf77dbeb8dbf59b86f6c41c4077,2023-12-03 01:04:53+00:00,Anuken,Merge remote-tracking branch 'origin/master',1
c353163c34706ce154d9254a756de91dd7ee30f0,2023-12-03 01:04:34+00:00,Anuken,Fixed #9342,1
c63e853f8b3a633ba041bd4205b58ac6ea3fbd8b,2023-12-02 15:48:07+00:00,112Hack,Update servers_v7.json (#9338),1
6bc01a07a6f3ee666119bb145e948cc69feb3a88,2023-12-02 02:16:43+00:00,Anuken,Merge remote-tracking branch 'origin/master',34
de50b207e5c3f75b6c95decdba87f4e5a083a4eb,2023-12-02 02:16:37+00:00,Anuken,Revert back to {0}-style format,2
54cf7812f0c9e442c150551dadb0d78760fed993,2023-12-02 02:14:51+00:00,unknown,Automatic bundle update,34
862d3153d94f620e1793177b7e6d4752a999dd24,2023-12-02 02:14:10+00:00,ApsZoldat,"Map-specific locale bundles system (#9199)

* Fix text setting in marker control

* Fix marker and bridge calculation game crashes, minor marker instruction code fixes

* Add privileged desynced client constant global variables

* Remove broken attempt to not initialize client vars on server

* Make @clientLocale variable non-constant, make @server and @client privileged

* WIP Implementation of map-specific locale bundles

* Progress on map locale bundles: add locale data to saves, make objectives use map locales if possible

* Add print formatting and map locale printing to world processors

* 🗿

* Minor map locales dialog ui changes

* Make map locale bundles load when joining multiplayer server

* Remove static declaration of current locale in MapLocales to fix tests failing

* Unify name of localeprint instruction, minor instruction description change, fix map locales incorrectly loading from clipboard

* Fix locale bundles not saving in game state, add  global var, make objective markers use map locale bundles and .mobile properties on mobile devices

* Even more map locales dialog improvements

* Fix english locale picking (when property isn't presented in current locale but english version has it) not working

* Add icon pasting to map locales dialog, minor ui changes

* Fix inconsistent game crash with null text in objectives, define player.locale on game loading (for clientLocale var)

* Change format instruction placeholders to backslash, fix map locales system incorrectly handling default locale

* understood",15
2d6e1cdf655be8b11fd95dfb55ab3b7891e97ef1,2023-12-02 01:50:32+00:00,MEEPofFaith,"PointLaserBulletType support for Weapons (#9331)

* PointLaserBulletType support for Weapons

I hate adding more fields to Weapon, but oh well. It's the price to pay when the behavior of what should be spread across multiple classes is compacted into a single class.

* Fix several problems",2
9307cd74efa65bfc67e46781ccbd8d0718c2fa94,2023-12-01 18:34:24+00:00,Anuken,Merge remote-tracking branch 'origin/master',1
88b10f4cf81dacfa2216c58aa5a5860b6da642c0,2023-12-01 18:34:17+00:00,Anuken,Fixed #9336,1
af36f5fd6de35849d107750859ff00b64bd19363,2023-11-30 20:56:57+00:00,Redstonneur1256,Update servers_v7.json (#9333),1
ed96b2eec8d52f5d3851cd8561df11ea013542c0,2023-11-30 19:19:30+00:00,Anuken,Simplified JSON music/sound loading,4
5fe28254e787afd020178555dc82d2ae91fcd691,2023-11-30 19:16:44+00:00,Mythril382,"Custom Launch Music for Each Planet (#8901)

* plant

* what

* literal ctrl+c ctrl+v

* more music

* issue

* feedback

* commit return",3
0afed49b7c31f014b051e25822771df8e1f35ff2,2023-11-30 15:17:09+00:00,NazrinNya,"IP change of cyandustry (#9312)

* Update servers_v7.json

* Update servers_v7.json

* Update servers_v7.json

* Update servers_v7.json",1
0271089211e98dfa4c7017ac7f892c042fa50bc8,2023-11-30 12:18:59+00:00,alexpvpmindustry,Update servers_v7.json for alex mindustry (#9330),1
9bd494504e7b4480f5469d0974d241c1a59e75f4,2023-11-30 12:18:40+00:00,MEEPofFaith,angleOffset is added twice in Weapon shoot (#9332),1
871209d88050428e4917dad7c73b9f61ef7c2100,2023-11-30 00:29:52+00:00,abcxyzDustry,Update servers_v7.json (#9329),1
08758ec29c36b3ac71ae8a14b105781680e9b9db,2023-11-29 20:01:41+00:00,BasedUser,Clean up 0.baseduser.eu.org (servers_v7.json) (#9328),1
ada2ee128ba1e537df94c73937e54bde042d2e17,2023-11-29 07:10:52+00:00,BasedUser,fix typo in russian bundle (#9326),1
45aee7d5820be54d552e3bbbfb39a338efce6e1c,2023-11-28 22:35:49+00:00,osp54,Darkdustry reborn (#9324),1
f57d6a7edea4c194503f6df50919a921f792013a,2023-11-28 20:02:31+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry,1
2ad5e373028340c0dec2b4de9808cc97ff606a01,2023-11-28 20:00:39+00:00,Anuken,Fixed #9325,1
90e40af8c15b6dab5a24b39e6a534be74cf332f4,2023-11-28 19:24:48+00:00,ApsZoldat,Minor setmarker ui statement fix (farming tiny commits?),1
20b2be5de8dad85351b87d68299f723b7f690bbe,2023-11-28 19:19:08+00:00,ApsZoldat,"""i forgor"" fix",1
557f2d444743f81b2186726aac30c46ae8653572,2023-11-28 19:08:33+00:00,ApsZoldat,Merge branch 'master' of https://github.com/Anuken/Mindustry into markers-update,69
02a53daa587629ca77790fac841d2257906672e1,2023-11-28 19:00:08+00:00,ApsZoldat,"Marker autoscale now works outside of minimap mode, another yet lmarkercontrol instructions cleanup, fix renderer's draw color breaking after drawing markers",4
120860665dface6a6e769751e189fffd352ba94f,2023-11-28 10:31:14+00:00,Anuken,Fixed #9322,1
6543c41bded9b4af98a3c7c6698a1a966d553cf2,2023-11-28 10:29:04+00:00,ArkSourcer,"Agua en HD (#9323)

* Funny change

* Update servers_v7.json

* Update bundle_es.properties

Traductions for the bundle_es
By ArkSource

* Update servers_v7.json

* Agua prt 2

* Update servers_v7.json

* Update servers_v7.json

* Agua 2-3",1
1a3824700a364754c925f31441df6b005a63e0ca,2023-11-28 01:48:11+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry,34
bc308847f4cb77a2dbb6dbfe3130ea5aa9647e70,2023-11-28 01:47:24+00:00,Anuken,Clarify that only ASCII is supported,2
e1ffc4ed6293b2b9b444c7832ce715dd1d6d0883,2023-11-28 01:38:02+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry,1
5f06ce0bff9a9495d4ec6740914b8970cae774ba,2023-11-28 01:37:25+00:00,Anuken,Added draw print instruction,6
8db6ca8b593c692b704f5110fab5c130969a1d53,2023-11-28 01:35:56+00:00,unknown,Automatic bundle update,34
0469bb5ce5e660d5db1a10c78942ce4979026bd7,2023-11-27 22:40:13+00:00,The1Crux,"Update servers_v7.json (#9321)

last servers exploded 💀",1
6ea2188beeb4ae83800237416fc90ec4b4076903,2023-11-27 19:56:26+00:00,ApsZoldat,Add minimap mode to other objective markers,4
a0c4b0e4314f086269109ed0b29c5aae5e81885d,2023-11-27 14:06:29+00:00,alexpvpmindustry,"Update servers_v7.json (#9319)

add more servers",1
8bace600592c1a742b46f2c0b0c6fb3edbfd1084,2023-11-27 11:57:01+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry,1
d759e71edc9b6bc6043f157cd7dac368ae1ea3ef,2023-11-27 11:55:40+00:00,Anuken,Fixed bombers stopping when patrolling,1
320b2ae54d76a1fdfe027ab0c4533f444790c7e5,2023-11-27 11:53:43+00:00,Anuken,Cleanup,1
44f7c726b524e312d5e080bbfa0624ccbe0c129b,2023-11-27 11:05:57+00:00,Anuken,Revert #9294,1
8d04a6820d07481f26dd5a86827b29a3b1ee9367,2023-11-27 09:51:47+00:00,osp54,Update servers_v7.json (#9318),1
f9d39ad31a96e6ff4f2ad2c9d134f098636be0a7,2023-11-25 17:54:05+00:00,abcxyzDustry,Update servers_v7.json (#9315),1
589b8d9d3755933b658d626c8df980bc52cda94f,2023-11-24 07:46:19+00:00,TheRadioactiveBanana,"Eradication Mindustry Merge (#9310)

Anuke finally gave the go ahead",1
fbf8b2bff17c9bd56d093becee69fa75712a7202,2023-11-24 00:04:19+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry,1
130336bff0d496fd541da89f4f783b0cf39f4a64,2023-11-24 00:04:17+00:00,Anuken,arc,3
9af7a864bdb12f2b7b9383b551be5277d7e22441,2023-11-23 23:59:14+00:00,LixieWulf,f (#9309),1
31eee11bf574e6e6a61c3440b668c6f64148a40a,2023-11-23 19:25:07+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry,1
d2956d1f2c3496da098dea09f71111cbbef009a0,2023-11-23 19:24:59+00:00,Anuken,ConnectFilter API now public,2
1feeef7aef9780655aaabb8ccfa2d1bde5aa5294,2023-11-23 18:35:26+00:00,karlo292,Update servers_v7.json (#9307),1
f5424ea59b7480f527dd966e7087241354dd47a7,2023-11-23 11:29:38+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry,1
4076a146b1dd7ab85d68b6c135e8e78e23e17108,2023-11-23 11:28:57+00:00,Anuken,Reject invalid tile configs,1
f4741e0e59988273df025524837bbe2c056fa4ee,2023-11-23 11:25:36+00:00,Hahaa13,"Back back vndustry (#9297)

* Update servers_v7.json

* Update servers_v7.json

* Back :))",1
3fcaf8f916668f945e34c60963864e7af820c63e,2023-11-23 09:59:32+00:00,Electron215,"Update servers_v7.json (#9294)

Co-authored-by: Electron <135461023+Electorn215@users.noreply.github.com>",1
726ba2af31dc8c11888b3ac65a563d1b0b635622,2023-11-22 22:06:05+00:00,abcxyzDustry,Update servers_v7.json (#9304),1
aa018b314d24f8e3b67ba057f5f9a019d5fa57c4,2023-11-22 19:33:05+00:00,ApsZoldat,"World processor markers: remove toggleVisibility, swap makemarker's type and id arguments for instruction consistency",3
8bb6acfacbb4b5e3c0cec2110d026dbd89ff4d8b,2023-11-22 13:24:45+00:00,112Hack,Update servers_v7.json (#9303),1
b189bfdf44b0ebd23e9fc9b317ba40929863e95b,2023-11-20 00:09:15+00:00,Anuken,Closes Anuken/Mindustry-Suggestions/issues/4780 (dumping neoplasm from tanks),5
12bcc050a6876a506bddcf17a8262044ae911ebb,2023-11-19 23:32:14+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry into new-pathfinding,29
afc2e15c5108471a865decfd94924b9a02229509,2023-11-19 15:55:42+00:00,Anuken,Fixed #9298,1
0787cbbb5f66daef1a43d131ed6c7f29a77bda18,2023-11-19 01:54:20+00:00,ArkSourcer,"Agua 3,  20% more water (#9295)

* Funny change

* Update servers_v7.json

* Update bundle_es.properties

Traductions for the bundle_es
By ArkSource

* Update servers_v7.json

* Agua prt 2

* Update servers_v7.json

* Update servers_v7.json",1
efce844e4eff4a309ea0566f0c3838cd37b6bcc7,2023-11-18 16:25:38+00:00,Anuken,Merge remote-tracking branch 'origin/master',2
46b88092db3a84e3c76f53dea2be7944d972f23e,2023-11-18 16:25:31+00:00,Anuken,Re-enabled mod unit tests,2
bdbf168797d4d5dbb7147169dbc0a39031ef48af,2023-11-18 16:11:21+00:00,abcxyzDustry,Update servers_v7.json (#9293),1
6200f08cd84b9a74563beddfe0c89106a43f6e1d,2023-11-18 13:37:40+00:00,Darkness6030,"Remove Darkdustry from the Global Server List (#9289)

The time has come. It's been more than two years since we started Mindurka, which was later renamed to Darkdustry. It was an amazing time and an amazing experience to maintain the server, to create plugins and gamemodes, to discuss mindustry with all of you. But It's enough. The server is getting constantly DDoSed, the host dies all the time and I have no motivation to develop anything related to Mindustry. 
Goodbye. And I hope, we'll meet again.",1
533c5a8afbc9bffccc909f15544715b84d833f05,2023-11-18 13:35:10+00:00,Ilya246,"fix shield arc ability (#9290)

* fix shield arc ability

* Update ShieldArcAbility.java",1
c3134bfb2fcfe703ce5b552372ae303015d86abf,2023-11-18 05:15:30+00:00,XuwenMeimei,Update servers_v7.json (#9288),1
5d1ec319bcf3d91952740c440d760c096bb62348,2023-11-18 00:12:56+00:00,Anuken,BulletType delayFrags workaround,3
60c05587a7a1d0f14ad2c25702caa57c2332e17e,2023-11-17 23:47:59+00:00,Anuken,Merge remote-tracking branch 'origin/master',1
4c33eed833b4f13e3e41f2d443322dd14d43087f,2023-11-17 23:47:52+00:00,Anuken,RailBulletType pierceCap,1
9fab556e81e2aa3354601b9aeec073b8550e0af0,2023-11-17 22:04:47+00:00,Anuken,Debugging disabled,1
171da8cf9bbbd130c317cbb6dd615d90a7b2e21f,2023-11-17 21:48:03+00:00,Anuken,Minor optimizations,1
e5b3488a054946f2ed17fa060165bc22994d74fb,2023-11-17 13:18:48+00:00,abcxyzDustry,Update servers_v7.json (#9286),1
53967d4d70a4830a1c7afc3a6638a759fe5eb4de,2023-11-16 16:01:42+00:00,GergoEB,"Fix format, it was breaking my thing (#9283)",1
c72eb5bd9c4f27496ae5bcb5085ae9ee353f0fee,2023-11-16 16:00:31+00:00,Anuken,Cleanup,2
af71006f3f2b5654ccb01dddedff56205316b389,2023-11-16 14:58:25+00:00,Anuken,Removed flowfield time restrictions,1
7a3476b9f7ed456aca9416c7a261688cbafda437,2023-11-16 14:58:01+00:00,Anuken,Debug property,1
565d3313a4e0df5d06e4f74f4a6b21bf046d494c,2023-11-16 14:56:58+00:00,Anuken,Invalidate path requests,1
c8209d568ffcda72898b57d8dbe8a824cc3c14d5,2023-11-16 01:50:24+00:00,Anuken,progress,1
587ff8bb467b2bd0f9f870669f1582f8d3833dab,2023-11-16 01:03:55+00:00,Anuken,Proper path cost support,6
1c96da3d67acfefa4c4b67f7cb957fdc7578c542,2023-11-15 05:08:27+00:00,Kieaer,Update servers_v7.json (#9282),1
ba6d2fc9e5ec20f53ac2b0ebba0d951227838cbf,2023-11-15 02:38:30+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry,1
70132436dbcaaa215ae882bfa1695eba817d9e90,2023-11-15 02:38:26+00:00,Anuken,arc,1
0c801b5c3202f4611b0da08b1453fc26bbc61081,2023-11-15 02:33:36+00:00,abcxyzDustry,Update servers_v7.json (#9280),1
299457cea5d38b1de0e97415de81c0b5e237b485,2023-11-15 01:08:22+00:00,Anuken,Merge remote-tracking branch 'origin/master',3
1a763a5db3185d0a7c578902060f432280ea4eac,2023-11-15 01:08:13+00:00,Anuken,Beam nodes now display graph status,1
d138aa7568f59f318d698c0f1fd54bd6929d68ff,2023-11-14 15:27:51+00:00,Darkness6030,Update Blocks.java (#9278),1
c434e18f8f39803dbfeca4b9a8b590042d8f1248,2023-11-13 20:25:44+00:00,ApsZoldat,Add drawing layers to markers,7
d780ee0434428ae6a3107fb3659007abb0893146,2023-11-13 17:38:07+00:00,abcxyzDustry,Update servers_v7.json (#9276),1
dd9927d72dc4bdce34b637339176b6040d29846c,2023-11-13 07:10:45+00:00,BalaM314,Correctly read item capacity in linked vaults (#9273),1
a836a64b5b6fb6ae7913a024d7d52add6f69d611,2023-11-13 02:55:21+00:00,Anuken,Merge remote-tracking branch 'origin/master',3
06bacab7102dc51bca2470cf98d75d4f943199ae,2023-11-13 02:55:16+00:00,Anuken,Crash fix,2
d2595543f9a2dab344e13c68811e43289f4667c8,2023-11-13 02:19:45+00:00,phinner,"Update French translations (#9140)

* chore: Synchronize lines

* chore: Remove empty space in bundle.properties

* chore: Translate to baguette

* Fixes for baguette language translations (#3)

* fix fpr translate to bagette language

---------

Co-authored-by: Phinner <62483793+phinner@users.noreply.github.com>

* chore: Smolchange

* chore: Apply @VizardAlpha suggestions

---------

Co-authored-by: ZetaMap <56844734+ZetaMap@users.noreply.github.com>",2
997702b9de207bd3e33269135e42c9e768baa283,2023-11-12 17:34:03+00:00,Anuken,progress,2
4c15e0e0fccdd6a7f1f2424b5ef1e75ec81431e9,2023-11-12 14:49:20+00:00,Hahaa13,"Good Bye VnDustry (#9268)

* Update servers_v7.json

* Update servers_v7.json",1
84eb35ec8341cf283fc1c2b692728a3b000297f6,2023-11-12 14:49:12+00:00,Anuken,Merge remote-tracking branch 'origin/master',4
8282a1e1bb0783ee222089bae7279d4030298991,2023-11-12 14:49:07+00:00,Anuken,Fixed #9269,1
e317a0da9e1f9152bf380fb995205790eaea6fd2,2023-11-12 01:48:15+00:00,ArkSourcer,"Agua part 2 (#9266)

* Funny change

* Update servers_v7.json

* Update bundle_es.properties

Traductions for the bundle_es
By ArkSource

* Update servers_v7.json

* Agua prt 2",1
381fd12aad9ed3db919694662b46a6617d2e2de8,2023-11-12 00:59:14+00:00,Anuken,Still terrible,3
af7598dcc6c5800208bbe5e26cacf29b80c3939d,2023-11-11 19:20:48+00:00,Anuken,"Actually functional, but terrible",3
cacfe063625acff8b8a1be40dc54b940ad229c94,2023-11-11 17:28:10+00:00,Anuken,progress,1
0cf27034cff50205bc9bbdc41c922c2119adc391,2023-11-11 16:26:42+00:00,Anuken,progress,1
5a14302d68fe1623e9d0212ccf6f2124240e15ff,2023-11-11 15:41:53+00:00,Anuken,progress,2
c4dc095adb062d117db40041c2e33c10072366d6,2023-11-11 14:55:01+00:00,ApsZoldat,"Minor ban/unban instruction and join dialog changes (#9249)

* Make PlacementFragment update after world processor's ban/unban instructions, add buttons in community server list to add server as remote

* Small world processor ban/unban optimization",3
fbd0675f750a75107609c5b334c82e95a9021b54,2023-11-11 14:36:22+00:00,osp54,someone forgot to place comma 💀 (#9263),1
71beeae32a965ca9d3301a699a13979e6dbbd380,2023-11-11 06:46:18+00:00,XuwenMeimei,Update servers_v7.json (#9262),1
24b7d99a691b21162b84d0575665da71fce68f16,2023-11-10 18:48:41+00:00,Anuken,progress,1
2ab3ad0330cdf3ddec9d5527c584cd164c192f79,2023-11-10 07:00:20+00:00,Anuken,Merge remote-tracking branch 'origin/master',1
9bf23bfcc85ecf350ec41c4f33c7cd837e4909d4,2023-11-10 07:00:15+00:00,Anuken,Fixed #9260,1
69e2f6b93b4592bf898af6e6461c98fb15526b59,2023-11-10 06:57:04+00:00,Anuken,progress,1
358a9ca98bcf292a3845e06128ab1d92dcdfb935,2023-11-09 14:49:50+00:00,Anuken,progress,1
0da4f763b37c718706d7bc8f1082d058321e19a0,2023-11-08 22:18:30+00:00,KotMilkMeoWtwo,"Update servers_v7.json (#9258)

I'm sorry, I made a mistake in the domain",1
70e112e8849f6246d25a5d6181b7de0f5cfac8ba,2023-11-08 18:20:07+00:00,Anuken,Moving new pathfinding to a new thread,1
66b8a6f93979de8ced295c2d3d91a18c6dd671c2,2023-11-08 15:12:35+00:00,Anuken,Reverted fix for #9257,1
bc6434bb64184e6ae2ac81d963031cb557915c2a,2023-11-08 14:02:27+00:00,Anuken,Merge remote-tracking branch 'origin/master',3
7f805f171222756c814594168ece77ab19c2bd14,2023-11-08 14:02:20+00:00,Anuken,Fixed #9257,2
afc97ebeda954edc8371185eb93f7f71238cdd03,2023-11-08 13:56:12+00:00,StalkerBaran,"Update servers_v7.json (#9256)

Update ""MeowIsland"" IP servers (Dont ask about ""minecraft"" in IP names, I using host for minecraft and its working on mindustry(no jokes plz, I know... its stupid... but its working))",1
e7a0d0589538b25a1fc2244837b4605565e00341,2023-11-08 13:47:40+00:00,Anuken,Update servers_v7.json,1
