number,state,contributor,created_at,closed_at,title,labels
9879,closed,Hlorit,2024-05-24 06:22:27+00:00,2024-05-24 13:50:07+00:00,Не отображаются глобальные сервера. ,['bug']
9878,closed,cheburashka777,2024-05-23 11:25:45+00:00,2024-05-23 11:40:17+00:00,Mindustry won't load,['bug']
9877,closed,KirBo111111,2024-05-23 11:16:53+00:00,2024-05-23 15:45:38+00:00,Серпуло не работает,['bug']
9876,closed,pieshrimp95,2024-05-23 02:57:33+00:00,2024-05-23 15:54:36+00:00,Armored Conveyor seems lazy to change state when Overdrive Projector turned off,['bug']
9875,closed,JasonP01,2024-05-23 00:05:43+00:00,2024-05-23 00:19:58+00:00,"Very bugged map, idek",['bug']
9874,closed,iRatzeyMezeri,2024-05-22 19:08:01+00:00,2024-05-22 20:28:24+00:00,Modded map exporting or importing exits the game on mobile,['bug']
9873,closed,Galahadagent,2024-05-22 18:55:25+00:00,2024-05-22 20:31:19+00:00,Different wave information at the same time in the sector 205,['bug']
9872,closed,Oti180,2024-05-22 15:49:29+00:00,2024-05-22 16:02:05+00:00,Ошибка при скачивание модификаторы и не нахождения сервера,['bug']
9871,closed,Vldtzzz,2024-05-22 14:59:43+00:00,2024-05-22 15:21:31+00:00,Suddenly i got attacked by over 100 units,['bug']
9870,closed,xianquu,2024-05-22 11:57:47+00:00,2024-05-22 13:14:14+00:00,Chinese website steals mindustry bgm,['bug']
9867,closed,Neoz30,2024-05-20 08:38:30+00:00,2024-05-20 13:27:41+00:00,Wrong key in control menu with azerty layout but work fine in game,['bug']
9863,closed,RandomsongV2,2024-05-19 19:51:51+00:00,2024-05-19 20:13:44+00:00,Network bug,['bug']
9862,closed,glotok,2024-05-19 17:33:39+00:00,2024-05-19 18:23:40+00:00,mindustry crashed,['bug']
9860,closed,vadim556,2024-05-19 09:31:57+00:00,2024-05-19 13:21:14+00:00,Mindustry has crashed java.lang.IllegalArgumentException: initialCapacity is too large: 64 Help please,['bug']
9858,closed,theshizik,2024-05-19 04:31:29+00:00,2024-05-19 04:34:12+00:00,crash after time,['bug']
9856,closed,XenXL,2024-05-16 21:50:24+00:00,2024-05-16 21:52:58+00:00,Bug on sector 210,['bug']
9855,closed,acheesethatsblue,2024-05-15 18:29:15+00:00,2024-05-15 19:34:08+00:00,"game crashes when clicking , or . without items",['bug']
9854,closed,Mrbruhhh,2024-05-15 15:59:58+00:00,2024-05-15 17:54:04+00:00,"Stuck at loading screen on sector 210, near fungal pass, serpulo.",['bug']
9847,closed,TechDudie,2024-05-13 13:40:03+00:00,2024-05-13 14:24:36+00:00,Sector list doesn't immediately update after abandoning a core,['bug']
9845,closed,jordan-woyak,2024-05-12 23:34:30+00:00,2024-05-13 03:19:44+00:00,Duct contents network desynchronization,['bug']
9844,closed,Uesjsgisbsh,2024-05-12 16:58:57+00:00,2024-05-12 17:37:51+00:00,the problem is in the mods,['bug']
9843,closed,COOKIE-184,2024-05-12 12:22:59+00:00,2024-05-12 13:17:45+00:00,Опробывал карту,['bug']
9842,closed,zxsrxtrepo,2024-05-12 11:45:58+00:00,2024-05-12 13:16:17+00:00,bug in server list,['bug']
9841,closed,Scofard771,2024-05-12 11:11:02+00:00,2024-05-12 13:18:12+00:00,Сервера сообщества пропали и  при удалении игры сервера не появляются,['bug']
9840,closed,1zx1120,2024-05-12 09:13:08+00:00,2024-05-12 13:16:01+00:00,"Sorry for changing the value of a data in memory without authorization, which resulted in an array out-of-bounds issue, causing only one level in the game to be damaged. Wondering if there's any repair method available?",['bug']
9838,closed,sedruh,2024-05-11 22:22:50+00:00,2024-05-11 23:44:53+00:00,Нету серверов и ошибки при входе в браузер модификаций.,['bug']
9837,closed,UserMax1,2024-05-11 18:43:27+00:00,2024-05-11 19:28:01+00:00,No russian translation when tungsten is introduced????,['bug']
9834,closed,I-Tfar,2024-05-10 17:24:53+00:00,2024-05-10 17:51:46+00:00,My copper is lost 😭,['bug']
9833,closed,ClownGolimyi,2024-05-10 13:12:24+00:00,2024-05-10 13:14:24+00:00,Handshake failure error,['bug']
9828,closed,MinerIndustry,2024-05-08 17:49:51+00:00,2024-05-08 18:14:16+00:00,I cant import my Data,['bug']
9826,closed,Legioner8369,2024-05-08 13:43:15+00:00,2024-05-08 13:56:27+00:00,"Обнулился сектор ""Штурмовой архипелаг""",['bug']
9824,closed,TGtg9,2024-05-08 11:55:22+00:00,2024-05-08 13:58:19+00:00,Terrible visual bug,['bug']
9823,closed,Phentaur,2024-05-08 01:49:30+00:00,2024-05-08 02:04:00+00:00,Karst Load Crash (Erekir),['bug']
9821,closed,TechDudie,2024-05-07 14:34:54+00:00,2024-05-07 15:39:16+00:00,Cryofluid does not render when out of viewframe,['bug']
9820,closed,Mythril382,2024-05-07 07:49:52+00:00,2024-05-07 11:59:06+00:00,"Fissile Matter, Dormant Cyst, Oxide, & Carbide in Wrong Order",['bug']
9819,closed,BlueTheCube,2024-05-07 07:42:13+00:00,2024-05-07 11:54:29+00:00,Enemy builder units in RTS AI do not rebuild blocks,['bug']
9813,closed,Enmanuelol123,2024-05-05 15:16:27+00:00,2024-05-05 16:17:34+00:00,Sound but,['bug']
9812,closed,Returi3,2024-05-05 08:19:48+00:00,2024-05-05 13:16:53+00:00,Баг в модификациях,['bug']
9811,closed,far1shs,2024-05-05 03:07:30+00:00,2024-05-05 03:18:02+00:00,Why is my archive bad or invalid? I recreate and reselect the region as well,['bug']
9806,closed,bikename,2024-05-04 04:09:29+00:00,2024-05-04 04:27:14+00:00,problem in mindustry github,['bug']
9805,closed,mtcfk,2024-05-04 00:50:28+00:00,2024-05-04 01:18:59+00:00,Weird distortion/scaling with non-standard screen resolution,['bug']
9804,closed,DSFdsfWxp,2024-05-03 18:24:36+00:00,2024-05-03 18:39:37+00:00,A problem cause shield takes no time to cool down,['bug']
9799,closed,kirill97513131,2024-05-01 15:58:27+00:00,2024-05-01 17:16:07+00:00,servers and modifications are not working,['bug']
9797,closed,tyrifv,2024-04-30 08:22:06+00:00,2024-04-30 13:43:40+00:00,Bug,['bug']
9795,closed,GergiiA,2024-04-29 05:54:14+00:00,2024-04-29 10:18:02+00:00,Mindustry crash when i go online,['bug']
9793,closed,whatthel,2024-04-28 18:19:11+00:00,2024-04-28 20:35:15+00:00,Thorium in Erekir before you actually unlock it,['bug']
9791,closed,lazizjon212,2024-04-28 14:09:09+00:00,2024-04-28 14:14:10+00:00,L-alt Bug,['bug']
9788,closed,LeRandom3676,2024-04-27 16:09:11+00:00,2024-04-27 22:40:50+00:00,OutOfMemory error,['bug']
9787,closed,Novanox4,2024-04-27 09:54:44+00:00,2024-04-27 10:31:38+00:00,Crash when attempting to change rules in a map,['bug']
9784,closed,broganeuquoixe,2024-04-26 13:08:56+00:00,2024-04-26 14:15:21+00:00,Blend filter and Path to Spawn filter don't have an icon,['bug']
9782,closed,adhu2018,2024-04-26 11:31:48+00:00,2024-04-26 14:10:18+00:00,Lose connection after the screen is turned off,['bug']
9781,closed,ZeleniyKustik,2024-04-25 10:33:40+00:00,2024-04-25 12:23:43+00:00,Bitwise operation error,['bug']
9779,closed,awia-the-fuwwy,2024-04-24 20:25:41+00:00,2024-04-24 20:30:03+00:00,Youtube + mindustry = pain,['bug']
9771,closed,JasonP01,2024-04-23 04:40:31+00:00,2024-04-23 13:17:43+00:00,Control keybind issue,['bug']
9770,closed,JasonP01,2024-04-23 04:08:45+00:00,2024-04-23 13:15:25+00:00,Continuation with save for 9739,['bug']
9769,closed,BlueTheCube,2024-04-22 11:20:00+00:00,2024-04-22 12:43:30+00:00,ItemTurrets can't shoot,['bug']
9768,closed,JasonP01,2024-04-22 06:19:43+00:00,2024-04-22 12:48:09+00:00,Logic @rotation inaccurate,['bug']
9767,closed,JasonP01,2024-04-22 06:06:29+00:00,2024-04-22 12:48:21+00:00,Logic @speed inaccurate,['bug']
9765,closed,Edwardl256,2024-04-21 12:36:11+00:00,2024-04-21 13:54:00+00:00,Container Payloads only pick up less than 10 items,['bug']
9763,closed,LaoHuaJiOfficial,2024-04-21 10:00:58+00:00,2024-04-21 14:05:10+00:00,yes another one...... some units not visually drown correctly,['bug']
9762,closed,LaoHuaJiOfficial,2024-04-21 09:45:18+00:00,2024-04-21 14:16:18+00:00,Mech unit get stucked when moving by liquid floor,['bug']
9761,closed,LaoHuaJiOfficial,2024-04-21 08:02:45+00:00,2024-04-21 14:07:24+00:00,Tank Unit show max unit cap alert not properly,['bug']
9760,closed,broganeuquoixe,2024-04-20 22:27:41+00:00,2024-04-20 23:11:12+00:00,Units cannot pathfind through solid enemy blocks,['bug']
9759,closed,BinaryElement,2024-04-20 21:10:21+00:00,2024-04-20 23:13:17+00:00,Loadout achievement unlocked from modded planet,['bug']
9758,closed,kirillkotyatkin,2024-04-20 14:03:14+00:00,2024-04-20 14:16:59+00:00,Ошибка при открытии браузера модификаций. ,['bug']
9750,closed,JasonP01,2024-04-15 20:39:07+00:00,2024-04-15 21:20:52+00:00,Disabled blocks still functioning,['bug']
9747,closed,broganeuquoixe,2024-04-14 14:54:42+00:00,2024-04-14 15:18:09+00:00,Last Accessed doesn't show player's name color when placing something,['bug']
9746,closed,broganeuquoixe,2024-04-14 14:19:55+00:00,2024-04-14 15:18:09+00:00,confirmunadmin text doesn't get formatted when opened from the list of admins,['bug']
9745,closed,Igor17122,2024-04-14 14:13:14+00:00,2024-04-14 15:10:01+00:00,mindustry  overgrowth and naval fortress map bug on campagin,['bug']
9742,closed,median109,2024-04-13 11:32:57+00:00,2024-04-13 13:21:16+00:00,Unit maintenance towers do not work,['bug']
9740,closed,Shadow8472,2024-04-13 04:51:06+00:00,2024-04-13 06:03:13+00:00,Number Lock State is Ignored,['bug']
9739,closed,JasonP01,2024-04-12 23:08:38+00:00,2024-04-12 23:39:03+00:00,Turret inconsistencies ,['bug']
9735,closed,IProgramWell,2024-04-12 13:46:30+00:00,2024-04-12 13:49:03+00:00,Can't properly import Github version's game data from the Steam version,['bug']
9732,closed,broganeuquoixe,2024-04-10 21:10:16+00:00,2024-04-10 23:24:33+00:00,Electrolyzer and Atmospheric Concentrator having itemCapacity,['bug']
9731,closed,broganeuquoixe,2024-04-10 18:25:26+00:00,2024-04-10 19:31:17+00:00,Various minor issues,['bug']
9730,closed,endcr,2024-04-09 04:55:47+00:00,2024-04-09 05:18:10+00:00,Powered Block Bug,['bug']
9728,closed,thomasdn,2024-04-08 23:01:19+00:00,2024-04-08 23:08:02+00:00,Mindustry keeps crashing,['bug']
9727,closed,Miyaguisensei,2024-04-08 19:34:20+00:00,2024-04-08 19:59:04+00:00,Invalid LOC Header... Can't import Data game,['bug']
9726,closed,endcr,2024-04-08 11:06:15+00:00,2024-04-08 14:45:36+00:00,Unit Cargo Loader Build Cost,['bug']
9722,closed,broganeuquoixe,2024-04-07 22:34:02+00:00,2024-04-08 00:54:10+00:00,Unit Command keybindings are missing .name inside the bundles,['bug']
9719,closed,yuhaaonan,2024-04-07 04:02:29+00:00,2024-04-07 12:53:01+00:00,Cannot complete Aegis normally,['bug']
9714,closed,xXredeem34Xx,2024-04-06 20:32:38+00:00,2024-04-06 22:20:52+00:00,Inconsistent Block Info for Erekir,['bug']
9713,closed,FishGutter12345,2024-04-06 13:24:15+00:00,2024-04-06 13:49:35+00:00,Crash,['bug']
9709,closed,MrMks,2024-04-05 11:04:08+00:00,2024-04-05 12:52:44+00:00,Power reading mismatch,['bug']
9708,closed,JasonP01,2024-04-04 06:15:25+00:00,2024-04-04 13:21:33+00:00,Unit assembler,['bug']
9707,closed,JasonP01,2024-04-04 06:05:07+00:00,2024-04-04 13:12:21+00:00,Assembler Module,['bug']
9695,closed,FelixDes,2024-03-31 19:51:44+00:00,2024-03-31 20:17:04+00:00,Server: `pause` command toggles pause regardless of the arguments,['bug']
9687,closed,broganeuquoixe,2024-03-30 17:49:44+00:00,2024-03-30 18:22:27+00:00,Weather Sense logic hint doesn't show up,['bug']
9686,closed,limonovthesecond2,2024-03-30 09:29:31+00:00,2024-03-30 13:51:22+00:00,Nova units are slowed down when the first unit attacks,['bug']
9681,closed,darchon30704,2024-03-27 21:17:51+00:00,2024-03-27 22:32:30+00:00,Crashes on ios ( whenever join community server) ,['bug']
9679,closed,darchon30704,2024-03-26 03:33:04+00:00,2024-03-26 03:58:54+00:00,Crashes on ios ( whenever join community server),['bug']
9677,closed,darchon30704,2024-03-26 02:47:00+00:00,2024-03-26 03:11:52+00:00,Crashes on ios ( quits app whenever i join community servers),['bug']
9673,closed,hsaturn,2024-03-25 13:25:45+00:00,2024-03-25 13:34:39+00:00,Logic: Label not found when it's too far,['bug']
9670,closed,Mattilego,2024-03-23 21:18:45+00:00,2024-03-24 02:09:50+00:00,Incorrect build number on startup screen,['bug']
9663,closed,limonovthesecond2,2024-03-21 12:32:00+00:00,2024-03-21 14:32:54+00:00,Interacting with the minimap interrupts mining,['bug']
9659,closed,GolfingCentaur,2024-03-20 05:40:41+00:00,2024-03-24 22:44:03+00:00,Text extending off screen (text formatting issue in portrait screen orientation),['bug']
9658,closed,broganeuquoixe,2024-03-19 20:04:51+00:00,2024-03-19 20:09:27+00:00,Derelict team can fix derelict blocks,['bug']
9657,closed,broganeuquoixe,2024-03-19 19:35:11+00:00,2024-03-19 20:11:54+00:00,Names in minimap display in the wrong position,['bug']
9656,closed,broganeuquoixe,2024-03-19 18:50:36+00:00,2024-03-19 19:09:24+00:00,Payload Loader constantly uses power even if empty,['bug']
9652,closed,Lancelot1151,2024-03-18 09:43:40+00:00,2024-03-18 13:29:12+00:00,Can't export game data,['bug']
9651,closed,JasonP01,2024-03-18 07:45:25+00:00,2024-03-18 13:28:46+00:00,Poly repairs enemy phase walls,['bug']
9649,closed,n00b660,2024-03-18 06:52:13+00:00,2024-03-18 07:00:25+00:00,Can't get mods,['bug']
9648,closed,Remenod,2024-03-17 18:43:04+00:00,2024-03-17 20:49:28+00:00,Endless heat duplication,['bug']
9645,closed,noashie,2024-03-16 09:13:59+00:00,2024-03-16 13:49:20+00:00,Animated shield bug,['bug']
9643,closed,Kazbek08,2024-03-15 16:41:40+00:00,2024-03-15 17:04:21+00:00,Huawei Honor 10x late ,['bug']
9641,closed,MEEPofFaith,2024-03-14 17:00:26+00:00,2024-03-14 23:55:22+00:00,Dependencies are Not Properly Checked For,['bug']
9640,closed,GORECKIPL,2024-03-14 07:04:26+00:00,2024-03-14 13:49:49+00:00,Crash when load zip save ,['bug']
9638,closed,KILE9966,2024-03-12 08:25:04+00:00,2024-03-12 13:43:54+00:00,Ravine Ləunching From mistake,['bug']
9637,closed,Karl-Markkus,2024-03-11 20:25:02+00:00,2024-03-11 20:43:26+00:00,Erekir sector Basin event bug,['bug']
9635,closed,Tooto,2024-03-11 06:12:33+00:00,2024-03-11 14:47:54+00:00,Repeatedly crash in campaign on Samsung S24 Ultra,['bug']
9634,closed,zaky1122,2024-03-10 20:31:19+00:00,2024-03-10 20:48:23+00:00,"Mindustry, Bug whit level",['bug']
9632,closed,SITUVNgcd,2024-03-10 16:48:16+00:00,2024-03-10 17:46:51+00:00,Logic Radar command can't detect Erekir core unit,['bug']
9628,closed,Chrysaloid,2024-03-09 01:00:57+00:00,2024-03-09 02:04:44+00:00,The name field when saving a new schematic has lower character limit than the name field when editing a schematic,['bug']
9623,closed,M0v0,2024-03-07 14:10:46+00:00,2024-03-07 14:58:30+00:00,App closes,['bug']
9622,closed,summoner001,2024-03-04 16:15:52+00:00,2024-03-05 01:36:15+00:00,Missing texts from the bundle.properties for translation in the settings > controls menu,['bug']
9618,closed,dextruax,2024-03-03 16:29:38+00:00,2024-03-03 17:13:35+00:00,Game not launching if not connect to the internet.,['bug']
9611,closed,Twcash,2024-03-03 01:17:58+00:00,2024-03-03 01:39:31+00:00,Telekinetic Mass Drivrs,['bug']
9607,closed,Rundll86,2024-03-02 12:53:48+00:00,2024-03-02 13:56:00+00:00,Unable to launch to Ruinous Shores (Custom build),['bug']
9605,closed,DeadPig99520,2024-03-02 08:53:29+00:00,2024-03-02 13:55:07+00:00,GPU BUG,['bug']
9597,closed,andy-bunny,2024-02-27 22:29:57+00:00,2024-02-27 22:59:31+00:00,Error when updating,['bug']
9596,closed,Ranana97,2024-02-27 17:54:19+00:00,2024-02-27 18:12:56+00:00,Exporting fails,['bug']
9595,closed,Galahadagent,2024-02-27 05:36:00+00:00,2024-02-27 05:41:34+00:00,"Erekir walls are not increasing health properly using Evoke, Incite and Emanate ",['bug']
9592,closed,JasonP01,2024-02-25 03:48:56+00:00,2024-02-25 04:32:34+00:00,Payload radar or beam node bug,['bug']
9591,closed,summoner001,2024-02-24 15:21:18+00:00,2024-02-24 15:52:13+00:00,Missing sector names when the actual sector is captured,['bug']
9587,closed,Floppy4,2024-02-23 12:13:45+00:00,2024-02-23 14:44:55+00:00,Crash,['bug']
9586,closed,Floppy4,2024-02-23 12:10:57+00:00,2024-02-23 12:11:24+00:00,Crash :(,['bug']
9580,closed,Alstin112,2024-02-21 22:12:16+00:00,2024-02-21 22:34:13+00:00,Ghost icons and icons that are not stripped,['bug']
9573,closed,GeoNew2011,2024-02-19 08:16:48+00:00,2024-02-19 15:20:29+00:00,Glow do not match pattern,['bug']
9572,closed,00001H,2024-02-19 06:33:42+00:00,2024-02-19 15:06:06+00:00,Eerkir minimap is completely broken: Y is flipped,['bug']
9571,closed,00001H,2024-02-19 06:20:29+00:00,2024-02-19 14:06:08+00:00,"UI respects Windows display scale(125%) when run from exe, but not jar",['bug']
9570,closed,alekey313,2024-02-19 02:05:35+00:00,2024-02-19 03:07:33+00:00,Error,['bug']
9569,closed,A4-Tacks,2024-02-18 09:18:57+00:00,2024-02-18 13:55:41+00:00,"Logic Parser, Jump to EOF Label failed",['bug']
9566,closed,kJNCwBUq,2024-02-17 10:39:07+00:00,2024-02-17 14:03:17+00:00,Processor illegally writes data to the world cell via unit getBlock,['bug']
9565,closed,huifeideteji,2024-02-16 17:19:08+00:00,2024-02-16 17:21:03+00:00,a bug in map selector,['bug']
9564,closed,huifeideteji,2024-02-16 17:16:25+00:00,2024-02-16 17:21:12+00:00,a bug in map selector,['bug']
9563,closed,huifeideteji,2024-02-16 17:16:04+00:00,2024-02-16 17:23:02+00:00,a bug in map selector,['bug']
9562,closed,limonovthesecond2,2024-02-16 12:48:35+00:00,2024-02-16 14:50:21+00:00,Nova don't change speed when in flight,['bug']
9561,closed,SunkyMP3G,2024-02-16 09:25:24+00:00,2024-02-16 14:52:17+00:00,Turrets with multi-shots don't stop shooting when destroyed,['bug']
9558,closed,nikitadan4pi,2024-02-16 08:35:56+00:00,2024-02-16 14:42:42+00:00,Import/Export bug,['bug']
9552,closed,phinner,2024-02-14 10:16:31+00:00,2024-02-14 15:37:56+00:00,Language in trace dialog is always English,['bug']
9551,closed,Trumbert,2024-02-14 10:00:05+00:00,2024-02-14 12:43:41+00:00,Mod browser gives an error!!!!!!,['bug']
9548,closed,Geodafence,2024-02-13 20:37:57+00:00,2024-02-14 02:22:16+00:00,Resizing a map unbinds all processor links,['bug']
9539,closed,TheRamenChef,2024-02-12 00:59:30+00:00,2024-02-12 01:14:51+00:00,Roboticist achievement unlocks at 30 units,['bug']
9538,closed,limonovthesecond2,2024-02-11 13:57:40+00:00,2024-02-11 14:06:32+00:00,Nova can't fly fast after shoot,['bug']
9537,closed,SITUVNgcd,2024-02-11 13:24:33+00:00,2024-02-11 14:00:54+00:00,Turbine Condenser show wrong value in schematic,['bug']
9535,closed,JasonP01,2024-02-11 09:08:02+00:00,2024-02-11 13:56:27+00:00,Button error,['bug']
9534,closed,cassiopc26,2024-02-10 21:34:16+00:00,2024-02-10 22:14:00+00:00,Crash issue,['bug']
9528,closed,JasonP01,2024-02-09 00:39:03+00:00,2024-02-09 00:52:22+00:00,@solid returning null for all walls,['bug']
9525,closed,JasonP01,2024-02-07 03:04:33+00:00,2024-02-07 03:17:17+00:00,Math Geometry.d8 incorrect ingame (sorry if this belongs in arc instead),['bug']
9524,closed,bhimio1,2024-02-07 00:00:43+00:00,2024-02-07 00:03:15+00:00,scatter not working,['bug']
9522,closed,Haznobrain,2024-02-06 12:42:46+00:00,2024-02-06 14:33:56+00:00,PointLaserBulletType does not work properly on units.,['bug']
9521,closed,Starshawn13,2024-02-06 04:40:08+00:00,2024-02-06 04:43:52+00:00,Campaign solo Missons seemingly reverting to a lose after closing app and other sectors not gathering resources,['bug']
9520,closed,yesC48,2024-02-06 01:00:01+00:00,2024-02-06 02:19:46+00:00,Incite auto-target inconsistencies ,['bug']
9519,closed,Trsmywhesrmyyntsnytcyjcmyxh6df,2024-02-05 03:14:15+00:00,2024-02-05 03:15:50+00:00,Bug,['bug']
9513,closed,justintimetodosmth,2024-02-03 08:46:55+00:00,2024-02-03 15:16:31+00:00,Making a schematic with a block that is in a mod and disabling that mod will result in a blank schematic.,['bug']
9512,closed,nanmenyangde,2024-02-03 05:44:17+00:00,2024-02-05 00:09:44+00:00,Missles explode on underBullet buildings,['bug']
9511,closed,BalaM314,2024-02-02 15:42:40+00:00,2024-02-02 15:52:00+00:00,DisposeEvent is not fired server side,['bug']
9509,closed,MertDemirhan2,2024-02-01 18:03:32+00:00,2024-02-01 18:25:20+00:00,servers not loading,['bug']
9508,closed,nanmenyangde,2024-02-01 10:18:53+00:00,2024-02-01 15:04:00+00:00,The objectives are displayed outside the screen,['bug']
9497,closed,mindusters,2024-01-27 15:45:55+00:00,2024-01-27 16:34:45+00:00,HELP ME PLEASE!!!,['bug']
9495,closed,limonovthesecond2,2024-01-27 12:35:30+00:00,2024-01-27 14:20:31+00:00,Unloader doesn't work with phase conveyor,['bug']
9490,closed,00001H,2024-01-26 14:05:49+00:00,2024-01-26 15:11:29+00:00,Erekir / Basin: lower left core does not count towards nuke trigger,['bug']
9489,closed,ZenXSin,2024-01-26 10:17:20+00:00,2024-01-26 13:11:46+00:00,Mindustry will use a huge amount of memory at startup,['bug']
9488,closed,Barutcu20,2024-01-25 18:33:44+00:00,2024-01-25 18:49:58+00:00,Poco x3 pro,['bug']
9477,closed,Ziron528,2024-01-20 06:26:54+00:00,2024-01-20 13:02:40+00:00,Error,['bug']
9476,closed,O-The-D,2024-01-20 00:10:03+00:00,2024-01-20 00:56:27+00:00,Phase conveyors/bridges autobuild pathfinding incorrect,['bug']
9472,closed,MPJCUIS,2024-01-19 03:13:05+00:00,2024-01-19 13:12:53+00:00,Unable to control units in command mode.,['bug']
9469,closed,SITUVNgcd,2024-01-18 14:16:21+00:00,2024-01-18 14:45:44+00:00,Multi-liquid ammo turret issue.,['bug']
9465,closed,Bobrus10,2024-01-17 10:22:42+00:00,2024-01-17 13:43:40+00:00,НЕ локализировано,['bug']
9464,closed,FunyValentineD4C,2024-01-17 08:58:19+00:00,2024-01-17 13:43:30+00:00,Mindustry вылетает с ошибкой,['bug']
9463,closed,PikarizardCharikachu,2024-01-17 08:05:27+00:00,2024-01-17 13:51:22+00:00,Music is not queueing when game is paused,['bug']
9462,closed,tdpo2,2024-01-17 07:37:29+00:00,2024-01-20 13:10:32+00:00,Donation,['bug']
9459,closed,itush20,2024-01-16 20:21:34+00:00,2024-01-16 22:01:55+00:00,Tantros-revealing mods bug,['bug']
9458,closed,Lorence12312,2024-01-16 18:36:46+00:00,2024-01-16 19:36:38+00:00,BUG 5mins after playing on Multiplayer,['bug']
