path,size,extension
core/assets-raw/icons/book.png,2389,png
core/assets-raw/icons/break.png,145,png
core/assets-raw/icons/cancel.png,131,png
core/assets-raw/icons/changelog.png,1498,png
core/assets-raw/icons/chat.png,106,png
core/assets-raw/icons/check.png,1097,png
core/assets-raw/icons/command-attack.png,109,png
core/assets-raw/icons/command-rally.png,95,png
core/assets-raw/icons/copy.png,120,png
core/assets-raw/icons/crafting.png,1535,png
core/assets-raw/icons/cursor.png,113,png
core/assets-raw/icons/defense.png,544,png
core/assets-raw/icons/diagonal.png,1526,png
core/assets-raw/icons/distribution.png,3281,png
core/assets-raw/icons/donate.png,3708,png
core/assets-raw/icons/dots.png,95,png
core/assets-raw/icons/download.png,160,png
core/assets-raw/icons/editor.png,2523,png
core/assets-raw/icons/effect.png,2141,png
core/assets-raw/icons/elevation.png,109,png
core/assets-raw/icons/eraser.png,1338,png
core/assets-raw/icons/exit.png,161,png
core/assets-raw/icons/export.png,168,png
core/assets-raw/icons/eye-off.png,548,png
core/assets-raw/icons/eye.png,540,png
core/assets-raw/icons/fdroid.png,1762,png
core/assets-raw/icons/file-image.png,129,png
core/assets-raw/icons/file-text.png,116,png
core/assets-raw/icons/file.png,111,png
core/assets-raw/icons/fill.png,141,png
core/assets-raw/icons/flip.png,4349,png
core/assets-raw/icons/folder-parent.png,115,png
core/assets-raw/icons/folder.png,99,png
core/assets-raw/icons/grid.png,114,png
core/assets-raw/icons/hammer.png,166,png
core/assets-raw/icons/home.png,105,png
core/assets-raw/icons/host.png,107,png
core/assets-raw/icons/info.png,2355,png
core/assets-raw/icons/itchio.png,1474,png
core/assets-raw/icons/item.png,112,png
core/assets-raw/icons/line.png,128,png
core/assets-raw/icons/link.png,139,png
core/assets-raw/icons/liquid-consume.png,110,png
core/assets-raw/icons/liquid.png,551,png
core/assets-raw/icons/load-image.png,134,png
core/assets-raw/icons/load.png,124,png
core/assets-raw/icons/loading.png,1355,png
core/assets-raw/icons/lock-open.png,122,png
core/assets-raw/icons/lock.png,551,png
core/assets-raw/icons/map.png,2409,png
core/assets-raw/icons/menu.png,97,png
core/assets-raw/icons/missing.png,117,png
core/assets-raw/icons/mode-attack.png,1356,png
core/assets-raw/icons/mode-pvp.png,2202,png
core/assets-raw/icons/mode-survival.png,1338,png
core/assets-raw/icons/none.png,125,png
core/assets-raw/icons/paste.png,118,png
core/assets-raw/icons/pause.png,93,png
core/assets-raw/icons/pencil.png,1359,png
core/assets-raw/icons/pick.png,1347,png
core/assets-raw/icons/planet.png,578,png
core/assets-raw/icons/play-2.png,123,png
core/assets-raw/icons/play.png,104,png
core/assets-raw/icons/players.png,105,png
core/assets-raw/icons/power.png,511,png
core/assets-raw/icons/production.png,1789,png
core/assets-raw/icons/quit.png,129,png
core/assets-raw/icons/redo.png,1344,png
core/assets-raw/icons/refresh.png,4011,png
core/assets-raw/icons/rename.png,92,png
core/assets-raw/icons/resize.png,133,png
core/assets-raw/icons/rotate-arrow.png,118,png
core/assets-raw/icons/rotate-left.png,111,png
core/assets-raw/icons/rotate-right.png,114,png
core/assets-raw/icons/rotate.png,103,png
core/assets-raw/icons/save-image.png,132,png
core/assets-raw/icons/save.png,113,png
core/assets-raw/icons/search.png,1351,png
core/assets-raw/icons/settings.png,136,png
core/assets-raw/icons/spray.png,113,png
core/assets-raw/icons/terrain.png,532,png
core/assets-raw/icons/tools.png,4557,png
core/assets-raw/icons/trash-16.png,113,png
core/assets-raw/icons/trash.png,115,png
core/assets-raw/icons/tree.png,156,png
core/assets-raw/icons/turret.png,2488,png
core/assets-raw/icons/tutorial.png,147,png
core/assets-raw/icons/undo.png,1344,png
core/assets-raw/icons/units.png,2234,png
core/assets-raw/icons/upload.png,158,png
core/assets-raw/sprites/pack.json,206,json
core/assets/baseparts/1591368647700.msch,146,msch
core/assets/baseparts/1591368707268.msch,146,msch
core/assets/baseparts/1591369683871.msch,295,msch
core/assets/baseparts/1591369726023.msch,94,msch
core/assets/baseparts/1591378058396.msch,214,msch
core/assets/baseparts/1591380533871.msch,177,msch
core/assets/baseparts/1591380739339.msch,110,msch
core/assets/baseparts/1591381320600.msch,166,msch
core/assets/baseparts/1591385128968.msch,217,msch
core/assets/baseparts/1591385266195.msch,177,msch
core/assets/baseparts/1591385293703.msch,140,msch
core/assets/baseparts/1591385372367.msch,252,msch
core/assets/baseparts/1591385575600.msch,317,msch
core/assets/baseparts/1591385624323.msch,189,msch
core/assets/baseparts/1591385989609.msch,262,msch
core/assets/baseparts/1591389407756.msch,180,msch
core/assets/baseparts/1591389561116.msch,207,msch
core/assets/baseparts/1591389593326.msch,183,msch
core/assets/baseparts/1591389611174.msch,124,msch
core/assets/baseparts/1599594352859.msch,404,msch
core/assets/baseparts/1603214967392.msch,153,msch
core/assets/baseparts/1603214996033.msch,176,msch
core/assets/baseparts/1603215024189.msch,162,msch
core/assets/baseparts/1603215113546.msch,262,msch
core/assets/baseparts/1603215171294.msch,193,msch
core/assets/baseparts/1603215272794.msch,277,msch
core/assets/baseparts/1603215345320.msch,285,msch
core/assets/baseparts/1603215415778.msch,161,msch
core/assets/baseparts/1603215454977.msch,216,msch
core/assets/baseparts/1603215491407.msch,234,msch
core/assets/baseparts/1603215563717.msch,160,msch
core/assets/baseparts/1603215697527.msch,262,msch
core/assets/baseparts/1603215771822.msch,239,msch
core/assets/baseparts/1603215801163.msch,129,msch
core/assets/baseparts/1603216038407.msch,304,msch
core/assets/baseparts/1603216102310.msch,183,msch
core/assets/baseparts/1603216240041.msch,392,msch
core/assets/baseparts/1603216539888.msch,449,msch
core/assets/baseparts/1603219216674.msch,213,msch
core/assets/baseparts/1603219241094.msch,167,msch
core/assets/baseparts/1603219316221.msch,249,msch
core/assets/baseparts/1603219367279.msch,163,msch
core/assets/baseparts/1603219511695.msch,117,msch
core/assets/baseparts/1603219540119.msch,105,msch
core/assets/baseparts/1603222786081.msch,241,msch
core/assets/baseparts/1603222833941.msch,263,msch
core/assets/baseparts/1603222912251.msch,325,msch
core/assets/baseparts/1605279968000.msch,252,msch
core/assets/baseparts/1605280014089.msch,192,msch
core/assets/baseparts/1605280470180.msch,306,msch
core/assets/baseparts/1605280548230.msch,194,msch
core/assets/baseparts/1605281022715.msch,304,msch
core/assets/baseparts/1605281081581.msch,166,msch
core/assets/baseparts/1605281121912.msch,186,msch
core/assets/baseparts/1605281215706.msch,340,msch
core/assets/baseparts/1605281306347.msch,771,msch
core/assets/baseparts/1605283900306.msch,584,msch
core/assets/baseparts/1605284013998.msch,349,msch
core/assets/baseparts/1605284595866.msch,440,msch
core/assets/baseparts/1605284660452.msch,691,msch
core/assets/baseparts/1605285080497.msch,487,msch
core/assets/baseparts/4125616123544.msch,247,msch
core/assets/baseparts/752911659508695080.msch,513,msch
core/assets/baseparts/752912199781056583.msch,242,msch
core/assets/baseparts/752912460620496957.msch,194,msch
core/assets/baseparts/752915237476368385.msch,321,msch
core/assets/baseparts/752915746673131550.msch,229,msch
core/assets/baseparts/752918895291007041.msch,177,msch
core/assets/baseparts/752918896331456582.msch,207,msch
core/assets/baseparts/752921320802746461.msch,455,msch
core/assets/baseparts/752923816967012442.msch,202,msch
core/assets/baseparts/752930133874049034.msch,150,msch
core/assets/baseparts/752930845685448825.msch,221,msch
core/assets/baseparts/752932257538506823.msch,227,msch
core/assets/baseparts/752937073991745554.msch,158,msch
core/assets/baseparts/752937145978716332.msch,165,msch
core/assets/baseparts/752937230456193185.msch,153,msch
core/assets/baseparts/752939992300388483.msch,316,msch
core/assets/baseparts/752941306489077823.msch,137,msch
core/assets/baseparts/752942460573057196.msch,490,msch
core/assets/baseparts/752955880965799966.msch,1061,msch
core/assets/baseparts/752961534690328648.msch,376,msch
core/assets/baseparts/752967201597947924.msch,229,msch
core/assets/baseparts/752995421667721307.msch,288,msch
core/assets/baseparts/753005578997071974.msch,350,msch
core/assets/baseparts/753035713162903572.msch,114,msch
core/assets/baseparts/753059583450415175.msch,386,msch
core/assets/baseparts/753087301323718736.msch,235,msch
core/assets/baseparts/753087303836106812.msch,231,msch
core/assets/baseparts/753087308881985706.msch,244,msch
core/assets/baseparts/753389428575043614.msch,413,msch
core/assets/baseparts/753644716297289769.msch,293,msch
core/assets/baseparts/753646105383927950.msch,230,msch
core/assets/baseparts/753652015078310049.msch,584,msch
core/assets/baseparts/753659989050261756.msch,384,msch
core/assets/baseparts/753663419592212490.msch,164,msch
core/assets/baseparts/753938078997151744.msch,201,msch
core/assets/baseparts/754024880747315332.msch,342,msch
core/assets/baseparts/755588030362026104.msch,172,msch
core/assets/baseparts/759634196280508416.msch,361,msch
core/assets/baseparts/772638841168461854.msch,144,msch
core/assets/baseparts/772642175838191616.msch,246,msch
core/assets/baseparts/772642264635670528.msch,254,msch
core/assets/baseparts/772642357136719872.msch,508,msch
core/assets/baseparts/772642606227390504.msch,329,msch
core/assets/baseparts/772642700713000960.msch,524,msch
core/assets/baseparts/772754117604409344.msch,692,msch
core/assets/baseparts/772859800051908639.msch,876,msch
core/assets/baseparts/772860007561166868.msch,373,msch
core/assets/baseparts/772861891516301334.msch,500,msch
core/assets/baseparts/772862221297909760.msch,432,msch
core/assets/baseparts/772880624582787112.msch,751,msch
core/assets/baseparts/772880838392152095.msch,1020,msch
core/assets/baseparts/773972917637611530.msch,290,msch
core/assets/baseparts/773972978551226368.msch,206,msch
core/assets/baseparts/773973064429993996.msch,288,msch
core/assets/baseparts/773973230179319858.msch,156,msch
core/assets/baseparts/773973383956135957.msch,150,msch
core/assets/baseparts/773973810848333844.msch,188,msch
core/assets/baseparts/773974064850272309.msch,312,msch
core/assets/baseparts/773974140545531924.msch,131,msch
core/assets/baseparts/773976628883619840.msch,358,msch
core/assets/baseparts/774001709088505867.msch,438,msch
core/assets/baseparts/774002215428816936.msch,398,msch
core/assets/baseparts/774013552553754635.msch,546,msch
core/assets/baseparts/actuallyokrtg.msch,374,msch
core/assets/baseparts/atrax-surprise.msch,499,msch
core/assets/baseparts/core1.msch,598,msch
core/assets/baseparts/flar.msch,290,msch
core/assets/baseparts/fortress.msch,804,msch
core/assets/baseparts/impending-doom.msch,536,msch
core/assets/baseparts/rtgbrick1.msch,138,msch
core/assets/baseparts/rtgbrick2.msch,141,msch
core/assets/baseparts/rtgsalvo.msch,166,msch
core/assets/baseparts/scorch.msch,235,msch
core/assets/baseparts/simplemeltdown.msch,402,msch
core/assets/baseparts/solarbrick1.msch,110,msch
core/assets/baseparts/solarbrick2.msch,108,msch
core/assets/baseparts/solarbrick4.msch,121,msch
core/assets/baseparts/steamgobrr.msch,311,msch
core/assets/baseparts/strong_duos.msch,316,msch
core/assets/baseparts/turret1.msch,102,msch
core/assets/bloomshaders/alpha_bloom.frag,551,frag
core/assets/bloomshaders/alpha_gaussian.frag,545,frag
core/assets/bloomshaders/alpha_threshold.frag,358,frag
core/assets/bloomshaders/bloom.frag,418,frag
core/assets/bloomshaders/blurspace.vert,635,vert
core/assets/bloomshaders/gaussian.frag,571,frag
core/assets/bloomshaders/screenspace.vert,153,vert
core/assets/bloomshaders/threshold.frag,212,frag
core/assets/bundles/bundle.properties,143262,properties
core/assets/bundles/bundle_be.properties,204143,properties
core/assets/bundles/bundle_bg.properties,192906,properties
core/assets/bundles/bundle_ca.properties,164786,properties
core/assets/bundles/bundle_cs.properties,155028,properties
core/assets/bundles/bundle_da.properties,147247,properties
core/assets/bundles/bundle_de.properties,154470,properties
core/assets/bundles/bundle_es.properties,160461,properties
core/assets/bundles/bundle_et.properties,149114,properties
core/assets/bundles/bundle_eu.properties,150720,properties
core/assets/bundles/bundle_fi.properties,156496,properties
core/assets/bundles/bundle_fil.properties,151676,properties
core/assets/bundles/bundle_fr.properties,170842,properties
core/assets/bundles/bundle_hu.properties,166464,properties
core/assets/bundles/bundle_id_id.properties,149706,properties
core/assets/bundles/bundle_it.properties,151756,properties
core/assets/bundles/bundle_ja.properties,179369,properties
core/assets/bundles/bundle_ko.properties,165252,properties
core/assets/bundles/bundle_lt.properties,151688,properties
core/assets/bundles/bundle_nl.properties,149712,properties
core/assets/bundles/bundle_nl_be.properties,145997,properties
core/assets/bundles/bundle_pl.properties,162170,properties
core/assets/bundles/bundle_pt_br.properties,155026,properties
core/assets/bundles/bundle_pt_pt.properties,148658,properties
core/assets/bundles/bundle_ro.properties,153527,properties
core/assets/bundles/bundle_ru.properties,230622,properties
core/assets/bundles/bundle_sr.properties,148401,properties
core/assets/bundles/bundle_sv.properties,147007,properties
core/assets/bundles/bundle_th.properties,286749,properties
core/assets/bundles/bundle_tk.properties,144996,properties
core/assets/bundles/bundle_tr.properties,151268,properties
core/assets/bundles/bundle_uk_ua.properties,247832,properties
core/assets/bundles/bundle_vi.properties,179910,properties
core/assets/bundles/bundle_zh_cn.properties,137245,properties
core/assets/bundles/bundle_zh_tw.properties,141564,properties
core/assets/cursors/cursor.png,336,png
core/assets/cursors/drill.png,375,png
core/assets/cursors/hand.png,350,png
core/assets/cursors/ibeam.png,230,png
core/assets/cursors/repair.png,1027,png
core/assets/cursors/target.png,1290,png
core/assets/cursors/unload.png,368,png
core/assets/fonts/font.woff,3444104,woff
core/assets/fonts/icon.ttf,13108,ttf
core/assets/fonts/logic.ttf,41208,ttf
core/assets/fonts/tech.ttf,11336,ttf
core/assets/icons/icon.icns,721319,icns
core/assets/icons/icon.ico,85182,ico
core/assets/icons/icon_64.png,13869,png
core/assets/icons/icons.properties,23484,properties
core/assets/maps/aegis.msav,41494,msav
core/assets/maps/archipelago.msav,23878,msav
core/assets/maps/atlas.msav,66193,msav
core/assets/maps/basin.msav,80323,msav
core/assets/maps/biomassfacility.msav,15380,msav
core/assets/maps/caldera-erekir.msav,34768,msav
core/assets/maps/caldera.msav,11988,msav
core/assets/maps/canyon.msav,15302,msav
core/assets/maps/coastline.msav,22312,msav
core/assets/maps/craters.msav,13811,msav
core/assets/maps/crevice.msav,38340,msav
core/assets/maps/crossroads.msav,64008,msav
core/assets/maps/debrisfield.msav,8438,msav
core/assets/maps/desolaterift.msav,10260,msav
core/assets/maps/domain.msav,38750,msav
core/assets/maps/extractionoutpost.msav,21621,msav
core/assets/maps/fork.msav,15958,msav
core/assets/maps/fortress.msav,9102,msav
core/assets/maps/frozenforest.msav,10604,msav
core/assets/maps/fungalpass.msav,12516,msav
core/assets/maps/glacier.msav,8550,msav
core/assets/maps/groundzero.msav,17072,msav
core/assets/maps/impact0078.msav,23840,msav
core/assets/maps/intersect.msav,40524,msav
core/assets/maps/islands.msav,11522,msav
core/assets/maps/karst.msav,37821,msav
core/assets/maps/labyrinth.msav,10613,msav
core/assets/maps/lake.msav,8858,msav
core/assets/maps/marsh.msav,68977,msav
core/assets/maps/maze.msav,7461,msav
core/assets/maps/moltenlake.msav,16569,msav
core/assets/maps/mudflats.msav,28248,msav
core/assets/maps/navalfortress.msav,28722,msav
core/assets/maps/nuclearcomplex.msav,16522,msav
core/assets/maps/onset.msav,45623,msav
core/assets/maps/origin.msav,95583,msav
core/assets/maps/overgrowth.msav,35371,msav
core/assets/maps/passage.msav,15083,msav
core/assets/maps/peaks.msav,23791,msav
core/assets/maps/planetaryterminal.msav,31032,msav
core/assets/maps/ravine.msav,44847,msav
core/assets/maps/ruinousshores.msav,18279,msav
core/assets/maps/saltflats.msav,21042,msav
core/assets/maps/shattered.msav,17146,msav
core/assets/maps/siege.msav,77148,msav
core/assets/maps/split.msav,57462,msav
core/assets/maps/stainedmountains.msav,18213,msav
core/assets/maps/stronghold.msav,77288,msav
core/assets/maps/tarfields.msav,17486,msav
core/assets/maps/tendrils.msav,15986,msav
core/assets/maps/triad.msav,7576,msav
core/assets/maps/veins.msav,24431,msav
core/assets/maps/wasteland.msav,22828,msav
core/assets/maps/windsweptislands.msav,13486,msav
core/assets/music/boss1.ogg,2566868,ogg
core/assets/music/boss2.ogg,2705612,ogg
core/assets/music/corelaunch.ogg,187349,ogg
core/assets/music/editor.ogg,1539857,ogg
core/assets/music/fine.ogg,1819566,ogg
core/assets/music/game1.ogg,1281219,ogg
core/assets/music/game2.ogg,1329376,ogg
core/assets/music/game3.ogg,1855682,ogg
core/assets/music/game4.ogg,2531904,ogg
core/assets/music/game5.ogg,1975980,ogg
core/assets/music/game6.ogg,1649639,ogg
core/assets/music/game7.ogg,2011976,ogg
core/assets/music/game8.ogg,2134796,ogg
core/assets/music/game9.ogg,2593090,ogg
core/assets/music/land.ogg,343048,ogg
core/assets/music/launch.ogg,1169439,ogg
core/assets/music/menu.ogg,985523,ogg
core/assets/scripts/base.js,1501,js
core/assets/scripts/global.js,10349,js
core/assets/shaders/arkycite.frag,1354,frag
core/assets/shaders/atmosphere.frag,2793,frag
core/assets/shaders/atmosphere.vert,244,vert
core/assets/shaders/blockbuild.frag,1551,frag
core/assets/shaders/buildbeam.frag,479,frag
core/assets/shaders/caustics.frag,724,frag
core/assets/shaders/clouds.vert,464,vert
core/assets/shaders/cryofluid.frag,991,frag
core/assets/shaders/cubemap.frag,131,frag
core/assets/shaders/cubemap.vert,207,vert
core/assets/shaders/darkness.frag,213,frag
core/assets/shaders/default.frag,257,frag
core/assets/shaders/default.vert,302,vert
core/assets/shaders/fog.frag,296,frag
core/assets/shaders/light.frag,248,frag
core/assets/shaders/mesh.vert,192,vert
core/assets/shaders/mud.frag,795,frag
core/assets/shaders/planet.frag,62,frag
core/assets/shaders/planet.vert,906,vert
core/assets/shaders/planetgrid.frag,198,frag
core/assets/shaders/planetgrid.vert,256,vert
core/assets/shaders/screenspace.frag,123,frag
core/assets/shaders/screenspace.vert,159,vert
core/assets/shaders/shield.frag,1128,frag
core/assets/shaders/shockwave.frag,1164,frag
core/assets/shaders/slag.frag,830,frag
core/assets/shaders/space.frag,528,frag
core/assets/shaders/tar.frag,713,frag
core/assets/shaders/unitarmor.frag,476,frag
core/assets/shaders/unitbuild.frag,616,frag
core/assets/shaders/unlit.vert,224,vert
core/assets/shaders/water.frag,1097,frag
core/assets/sounds/artillery.ogg,9391,ogg
core/assets/sounds/bang.ogg,9797,ogg
core/assets/sounds/beam.ogg,61265,ogg
core/assets/sounds/bigshot.ogg,9172,ogg
core/assets/sounds/bioloop.ogg,26836,ogg
core/assets/sounds/blaster.ogg,14265,ogg
core/assets/sounds/bolt.ogg,14510,ogg
core/assets/sounds/boom.ogg,12177,ogg
core/assets/sounds/break.ogg,7035,ogg
core/assets/sounds/build.ogg,24470,ogg
core/assets/sounds/buttonclick.ogg,5383,ogg
core/assets/sounds/cannon.ogg,27453,ogg
core/assets/sounds/click.ogg,7076,ogg
core/assets/sounds/combustion.ogg,40412,ogg
core/assets/sounds/conveyor.ogg,13441,ogg
core/assets/sounds/corexplode.ogg,19890,ogg
core/assets/sounds/cutter.ogg,65571,ogg
core/assets/sounds/door.ogg,6924,ogg
core/assets/sounds/drill.ogg,35495,ogg
core/assets/sounds/drillcharge.ogg,41519,ogg
core/assets/sounds/drillimpact.ogg,16646,ogg
core/assets/sounds/dullexplosion.ogg,10854,ogg
core/assets/sounds/electrichum.ogg,70024,ogg
core/assets/sounds/explosion.ogg,10787,ogg
core/assets/sounds/explosionbig.ogg,18660,ogg
core/assets/sounds/extractloop.ogg,48229,ogg
core/assets/sounds/fire.ogg,16175,ogg
core/assets/sounds/flame.ogg,6542,ogg
core/assets/sounds/flame2.ogg,11386,ogg
core/assets/sounds/flux.ogg,14468,ogg
core/assets/sounds/glow.ogg,42097,ogg
core/assets/sounds/grinding.ogg,20038,ogg
core/assets/sounds/hum.ogg,49959,ogg
core/assets/sounds/largecannon.ogg,34520,ogg
core/assets/sounds/largeexplosion.ogg,23608,ogg
core/assets/sounds/laser.ogg,9386,ogg
core/assets/sounds/laserbeam.ogg,124090,ogg
core/assets/sounds/laserbig.ogg,48859,ogg
core/assets/sounds/laserblast.ogg,58542,ogg
core/assets/sounds/lasercharge.ogg,28829,ogg
core/assets/sounds/lasercharge2.ogg,16636,ogg
core/assets/sounds/lasershoot.ogg,10337,ogg
core/assets/sounds/machine.ogg,60783,ogg
core/assets/sounds/malignshoot.ogg,12694,ogg
core/assets/sounds/mediumcannon.ogg,14325,ogg
core/assets/sounds/minedeploy.ogg,8428,ogg
core/assets/sounds/minebeam.ogg,36087,ogg
core/assets/sounds/missile.ogg,8166,ogg
core/assets/sounds/missilelarge.ogg,19694,ogg
core/assets/sounds/missilelaunch.ogg,43747,ogg
core/assets/sounds/missilesmall.ogg,18904,ogg
core/assets/sounds/missiletrail.ogg,19173,ogg
core/assets/sounds/mud.ogg,9636,ogg
core/assets/sounds/noammo.ogg,4690,ogg
core/assets/sounds/pew.ogg,6528,ogg
core/assets/sounds/place.ogg,7142,ogg
core/assets/sounds/plantbreak.ogg,8270,ogg
core/assets/sounds/plasmaboom.ogg,13151,ogg
core/assets/sounds/plasmadrop.ogg,14732,ogg
core/assets/sounds/pulse.ogg,44687,ogg
core/assets/sounds/pulseblast.ogg,28101,ogg
core/assets/sounds/railgun.ogg,16029,ogg
core/assets/sounds/rain.ogg,176229,ogg
core/assets/sounds/release.ogg,17814,ogg
core/assets/sounds/respawn.ogg,14642,ogg
core/assets/sounds/respawning.ogg,7274,ogg
core/assets/sounds/rockbreak.ogg,16627,ogg
core/assets/sounds/sap.ogg,10947,ogg
core/assets/sounds/shield.ogg,30867,ogg
core/assets/sounds/shockblast.ogg,27086,ogg
core/assets/sounds/shoot.ogg,12352,ogg
core/assets/sounds/shootalt.ogg,7812,ogg
core/assets/sounds/shootaltlong.ogg,10525,ogg
core/assets/sounds/shootbig.ogg,6874,ogg
core/assets/sounds/shootsmite.ogg,19481,ogg
core/assets/sounds/shootsnap.ogg,7081,ogg
core/assets/sounds/shotgun.ogg,7693,ogg
core/assets/sounds/smelter.ogg,29846,ogg
core/assets/sounds/spark.ogg,11020,ogg
core/assets/sounds/spellloop.ogg,15985,ogg
core/assets/sounds/splash.ogg,16042,ogg
core/assets/sounds/spray.ogg,20366,ogg
core/assets/sounds/steam.ogg,58651,ogg
core/assets/sounds/swish.ogg,5356,ogg
core/assets/sounds/techloop.ogg,40900,ogg
core/assets/sounds/thruster.ogg,28007,ogg
core/assets/sounds/titanexplosion.ogg,23880,ogg
core/assets/sounds/torch.ogg,13720,ogg
core/assets/sounds/tractorbeam.ogg,8246,ogg
core/assets/sounds/wave.ogg,15072,ogg
core/assets/sounds/wind.ogg,52913,ogg
core/assets/sounds/wind2.ogg,270286,ogg
core/assets/sounds/wind3.ogg,25692,ogg
core/assets/sounds/windhowl.ogg,236939,ogg
core/assets/sprites/caustics.png,47761,png
core/assets/sprites/clouds.png,116329,png
core/assets/sprites/distortalpha.png,11241,png
core/assets/sprites/error.png,276,png
core/assets/sprites/fog.png,48485,png
core/assets/sprites/logo.png,20324,png
core/assets/sprites/noise.png,16411,png
core/assets/sprites/noisealpha.png,9671,png
core/assets/sprites/rays.png,19516,png
core/assets/sprites/schematic-background.png,1242,png
core/assets/sprites/space.png,1115630,png
core/src/mindustry/clientlauncher.java,9192,java
core/src/mindustry/vars.java,19785,java
ios/data/assets.xcassets/contents.json,60,json
ios/data/base.lproj/launchscreen.storyboard,2618,storyboard
android/src/mindustry/android/androidlauncher.java,12498,java
android/src/mindustry/android/androidrhinocontext.java,6981,java
annotations/src/main/resources/classids.properties,1081,properties
core/assets-raw/fontgen/extra/admin.svg,1998,svg
core/assets-raw/fontgen/extra/distribution.svg,1936,svg
core/assets-raw/fontgen/extra/effect.svg,1903,svg
core/assets-raw/fontgen/extra/file-image.svg,2124,svg
core/assets-raw/fontgen/extra/info.svg,1884,svg
core/assets-raw/fontgen/extra/logic.svg,2083,svg
core/assets-raw/fontgen/extra/planet.svg,2830,svg
core/assets-raw/sprites/editor/block-border-editor.png,146,png
core/assets-raw/sprites/editor/clear-editor.png,68,png
core/assets-raw/sprites/editor/pack.json,164,json
core/assets-raw/sprites/effects/bullet-back.png,242,png
core/assets-raw/sprites/effects/bullet.png,231,png
core/assets-raw/sprites/effects/casing.png,82,png
core/assets-raw/sprites/effects/circle-bullet-back.png,293,png
core/assets-raw/sprites/effects/circle-bullet.png,243,png
core/assets-raw/sprites/effects/circle-end.png,6066,png
core/assets-raw/sprites/effects/circle-mid.png,391,png
core/assets-raw/sprites/effects/circle-shadow.png,12954,png
core/assets-raw/sprites/effects/clear-effect.png,83,png
core/assets-raw/sprites/effects/drill-laser-boost-center.png,499,png
