number,state,contributor,created_at,closed_at,title,labels,resolution_time
9855,closed,acheesethatsblue,2024-05-15 18:29:15+00:00,2024-05-15 19:34:08+00:00,"game crashes when clicking , or . without items",['bug'],1.081388888888889
9854,closed,Mrbruhhh,2024-05-15 15:59:58+00:00,2024-05-15 17:54:04+00:00,"stuck at loading screen on sector 210, near fungal pass, serpulo.",['bug'],1.9016666666666666
9847,closed,TechDudie,2024-05-13 13:40:03+00:00,2024-05-13 14:24:36+00:00,sector list doesn't immediately update after abandoning a core,['bug'],0.7425
9845,closed,jordan-woyak,2024-05-12 23:34:30+00:00,2024-05-13 03:19:44+00:00,duct contents network desynchronization,['bug'],3.753888888888889
9844,closed,Uesjsgisbsh,2024-05-12 16:58:57+00:00,2024-05-12 17:37:51+00:00,the problem is in the mods,['bug'],0.6483333333333333
9843,closed,COOKIE-184,2024-05-12 12:22:59+00:00,2024-05-12 13:17:45+00:00,опробывал карту,['bug'],0.9127777777777778
9842,closed,zxsrxtrepo,2024-05-12 11:45:58+00:00,2024-05-12 13:16:17+00:00,bug in server list,['bug'],1.5052777777777777
9841,closed,Scofard771,2024-05-12 11:11:02+00:00,2024-05-12 13:18:12+00:00,сервера сообщества пропали и  при удалении игры сервера не появляются,['bug'],2.1194444444444445
9840,closed,1zx1120,2024-05-12 09:13:08+00:00,2024-05-12 13:16:01+00:00,"sorry for changing the value of a data in memory without authorization, which resulted in an array out-of-bounds issue, causing only one level in the game to be damaged. wondering if there's any repair method available?",['bug'],4.048055555555556
9838,closed,sedruh,2024-05-11 22:22:50+00:00,2024-05-11 23:44:53+00:00,нету серверов и ошибки при входе в браузер модификаций.,['bug'],1.3675
9837,closed,UserMax1,2024-05-11 18:43:27+00:00,2024-05-11 19:28:01+00:00,no russian translation when tungsten is introduced????,['bug'],0.7427777777777778
9834,closed,I-Tfar,2024-05-10 17:24:53+00:00,2024-05-10 17:51:46+00:00,my copper is lost 😭,['bug'],0.44805555555555554
9833,closed,ClownGolimyi,2024-05-10 13:12:24+00:00,2024-05-10 13:14:24+00:00,handshake failure error,['bug'],0.03333333333333333
9828,closed,MinerIndustry,2024-05-08 17:49:51+00:00,2024-05-08 18:14:16+00:00,i cant import my data,['bug'],0.40694444444444444
9826,closed,Legioner8369,2024-05-08 13:43:15+00:00,2024-05-08 13:56:27+00:00,"обнулился сектор ""штурмовой архипелаг""",['bug'],0.22
9824,closed,TGtg9,2024-05-08 11:55:22+00:00,2024-05-08 13:58:19+00:00,terrible visual bug,['bug'],2.049166666666667
9823,closed,Phentaur,2024-05-08 01:49:30+00:00,2024-05-08 02:04:00+00:00,karst load crash (erekir),['bug'],0.24166666666666667
9821,closed,TechDudie,2024-05-07 14:34:54+00:00,2024-05-07 15:39:16+00:00,cryofluid does not render when out of viewframe,['bug'],1.0727777777777778
9820,closed,Mythril382,2024-05-07 07:49:52+00:00,2024-05-07 11:59:06+00:00,"fissile matter, dormant cyst, oxide, & carbide in wrong order",['bug'],4.153888888888889
9819,closed,BlueTheCube,2024-05-07 07:42:13+00:00,2024-05-07 11:54:29+00:00,enemy builder units in rts ai do not rebuild blocks,['bug'],4.204444444444444
9813,closed,Enmanuelol123,2024-05-05 15:16:27+00:00,2024-05-05 16:17:34+00:00,sound but,['bug'],1.0186111111111111
9812,closed,Returi3,2024-05-05 08:19:48+00:00,2024-05-05 13:16:53+00:00,баг в модификациях,['bug'],4.951388888888889
9811,closed,far1shs,2024-05-05 03:07:30+00:00,2024-05-05 03:18:02+00:00,why is my archive bad or invalid? i recreate and reselect the region as well,['bug'],0.17555555555555555
9806,closed,bikename,2024-05-04 04:09:29+00:00,2024-05-04 04:27:14+00:00,problem in mindustry github,['bug'],0.29583333333333334
9805,closed,mtcfk,2024-05-04 00:50:28+00:00,2024-05-04 01:18:59+00:00,weird distortion/scaling with non-standard screen resolution,['bug'],0.4752777777777778
9804,closed,DSFdsfWxp,2024-05-03 18:24:36+00:00,2024-05-03 18:39:37+00:00,a problem cause shield takes no time to cool down,['bug'],0.25027777777777777
9799,closed,kirill97513131,2024-05-01 15:58:27+00:00,2024-05-01 17:16:07+00:00,servers and modifications are not working,['bug'],1.2944444444444445
9797,closed,tyrifv,2024-04-30 08:22:06+00:00,2024-04-30 13:43:40+00:00,bug,['bug'],5.359444444444445
9795,closed,GergiiA,2024-04-29 05:54:14+00:00,2024-04-29 10:18:02+00:00,mindustry crash when i go online,['bug'],4.3966666666666665
9793,closed,whatthel,2024-04-28 18:19:11+00:00,2024-04-28 20:35:15+00:00,thorium in erekir before you actually unlock it,['bug'],2.267777777777778
9791,closed,lazizjon212,2024-04-28 14:09:09+00:00,2024-04-28 14:14:10+00:00,l-alt bug,['bug'],0.08361111111111111
9788,closed,LeRandom3676,2024-04-27 16:09:11+00:00,2024-04-27 22:40:50+00:00,outofmemory error,['bug'],6.5275
9787,closed,Novanox4,2024-04-27 09:54:44+00:00,2024-04-27 10:31:38+00:00,crash when attempting to change rules in a map,['bug'],0.615
9784,closed,broganeuquoixe,2024-04-26 13:08:56+00:00,2024-04-26 14:15:21+00:00,blend filter and path to spawn filter don't have an icon,['bug'],1.1069444444444445
9782,closed,adhu2018,2024-04-26 11:31:48+00:00,2024-04-26 14:10:18+00:00,lose connection after the screen is turned off,['bug'],2.6416666666666666
9781,closed,ZeleniyKustik,2024-04-25 10:33:40+00:00,2024-04-25 12:23:43+00:00,bitwise operation error,['bug'],1.8341666666666667
9779,closed,awia-the-fuwwy,2024-04-24 20:25:41+00:00,2024-04-24 20:30:03+00:00,youtube + mindustry = pain,['bug'],0.07277777777777777
9771,closed,JasonP01,2024-04-23 04:40:31+00:00,2024-04-23 13:17:43+00:00,control keybind issue,['bug'],8.62
9770,closed,JasonP01,2024-04-23 04:08:45+00:00,2024-04-23 13:15:25+00:00,continuation with save for 9739,['bug'],9.11111111111111
9769,closed,BlueTheCube,2024-04-22 11:20:00+00:00,2024-04-22 12:43:30+00:00,itemturrets can't shoot,['bug'],1.3916666666666666
9768,closed,JasonP01,2024-04-22 06:19:43+00:00,2024-04-22 12:48:09+00:00,logic @rotation inaccurate,['bug'],6.473888888888889
9767,closed,JasonP01,2024-04-22 06:06:29+00:00,2024-04-22 12:48:21+00:00,logic @speed inaccurate,['bug'],6.697777777777778
9765,closed,Edwardl256,2024-04-21 12:36:11+00:00,2024-04-21 13:54:00+00:00,container payloads only pick up less than 10 items,['bug'],1.2969444444444445
9763,closed,LaoHuaJiOfficial,2024-04-21 10:00:58+00:00,2024-04-21 14:05:10+00:00,yes another one...... some units not visually drown correctly,['bug'],4.07
9762,closed,LaoHuaJiOfficial,2024-04-21 09:45:18+00:00,2024-04-21 14:16:18+00:00,mech unit get stucked when moving by liquid floor,['bug'],4.516666666666667
9761,closed,LaoHuaJiOfficial,2024-04-21 08:02:45+00:00,2024-04-21 14:07:24+00:00,tank unit show max unit cap alert not properly,['bug'],6.0775
9760,closed,broganeuquoixe,2024-04-20 22:27:41+00:00,2024-04-20 23:11:12+00:00,units cannot pathfind through solid enemy blocks,['bug'],0.7252777777777778
9759,closed,BinaryElement,2024-04-20 21:10:21+00:00,2024-04-20 23:13:17+00:00,loadout achievement unlocked from modded planet,['bug'],2.048888888888889
9758,closed,kirillkotyatkin,2024-04-20 14:03:14+00:00,2024-04-20 14:16:59+00:00,ошибка при открытии браузера модификаций. ,['bug'],0.22916666666666666
9750,closed,JasonP01,2024-04-15 20:39:07+00:00,2024-04-15 21:20:52+00:00,disabled blocks still functioning,['bug'],0.6958333333333333
9747,closed,broganeuquoixe,2024-04-14 14:54:42+00:00,2024-04-14 15:18:09+00:00,last accessed doesn't show player's name color when placing something,['bug'],0.3908333333333333
9746,closed,broganeuquoixe,2024-04-14 14:19:55+00:00,2024-04-14 15:18:09+00:00,confirmunadmin text doesn't get formatted when opened from the list of admins,['bug'],0.9705555555555555
9745,closed,Igor17122,2024-04-14 14:13:14+00:00,2024-04-14 15:10:01+00:00,mindustry  overgrowth and naval fortress map bug on campagin,['bug'],0.9463888888888888
9742,closed,median109,2024-04-13 11:32:57+00:00,2024-04-13 13:21:16+00:00,unit maintenance towers do not work,['bug'],1.8052777777777778
9740,closed,Shadow8472,2024-04-13 04:51:06+00:00,2024-04-13 06:03:13+00:00,number lock state is ignored,['bug'],1.2019444444444445
9739,closed,JasonP01,2024-04-12 23:08:38+00:00,2024-04-12 23:39:03+00:00,turret inconsistencies ,['bug'],0.5069444444444444
9735,closed,IProgramWell,2024-04-12 13:46:30+00:00,2024-04-12 13:49:03+00:00,can't properly import github version's game data from the steam version,['bug'],0.0425
9732,closed,broganeuquoixe,2024-04-10 21:10:16+00:00,2024-04-10 23:24:33+00:00,electrolyzer and atmospheric concentrator having itemcapacity,['bug'],2.2380555555555555
9731,closed,broganeuquoixe,2024-04-10 18:25:26+00:00,2024-04-10 19:31:17+00:00,various minor issues,['bug'],1.0975
9730,closed,endcr,2024-04-09 04:55:47+00:00,2024-04-09 05:18:10+00:00,powered block bug,['bug'],0.37305555555555553
9728,closed,thomasdn,2024-04-08 23:01:19+00:00,2024-04-08 23:08:02+00:00,mindustry keeps crashing,['bug'],0.11194444444444444
9727,closed,Miyaguisensei,2024-04-08 19:34:20+00:00,2024-04-08 19:59:04+00:00,invalid loc header... can't import data game,['bug'],0.4122222222222222
9726,closed,endcr,2024-04-08 11:06:15+00:00,2024-04-08 14:45:36+00:00,unit cargo loader build cost,['bug'],3.6558333333333333
9722,closed,broganeuquoixe,2024-04-07 22:34:02+00:00,2024-04-08 00:54:10+00:00,unit command keybindings are missing .name inside the bundles,['bug'],2.3355555555555556
9719,closed,yuhaaonan,2024-04-07 04:02:29+00:00,2024-04-07 12:53:01+00:00,cannot complete aegis normally,['bug'],8.842222222222222
9714,closed,xXredeem34Xx,2024-04-06 20:32:38+00:00,2024-04-06 22:20:52+00:00,inconsistent block info for erekir,['bug'],1.8038888888888889
9713,closed,FishGutter12345,2024-04-06 13:24:15+00:00,2024-04-06 13:49:35+00:00,crash,['bug'],0.4222222222222222
9709,closed,MrMks,2024-04-05 11:04:08+00:00,2024-04-05 12:52:44+00:00,power reading mismatch,['bug'],1.81
9708,closed,JasonP01,2024-04-04 06:15:25+00:00,2024-04-04 13:21:33+00:00,unit assembler,['bug'],7.102222222222222
9707,closed,JasonP01,2024-04-04 06:05:07+00:00,2024-04-04 13:12:21+00:00,assembler module,['bug'],7.120555555555556
9695,closed,FelixDes,2024-03-31 19:51:44+00:00,2024-03-31 20:17:04+00:00,server: `pause` command toggles pause regardless of the arguments,['bug'],0.4222222222222222
9687,closed,broganeuquoixe,2024-03-30 17:49:44+00:00,2024-03-30 18:22:27+00:00,weather sense logic hint doesn't show up,['bug'],0.5452777777777778
9686,closed,limonovthesecond2,2024-03-30 09:29:31+00:00,2024-03-30 13:51:22+00:00,nova units are slowed down when the first unit attacks,['bug'],4.364166666666667
9681,closed,darchon30704,2024-03-27 21:17:51+00:00,2024-03-27 22:32:30+00:00,crashes on ios ( whenever join community server) ,['bug'],1.2441666666666666
9679,closed,darchon30704,2024-03-26 03:33:04+00:00,2024-03-26 03:58:54+00:00,crashes on ios ( whenever join community server),['bug'],0.4305555555555556
9677,closed,darchon30704,2024-03-26 02:47:00+00:00,2024-03-26 03:11:52+00:00,crashes on ios ( quits app whenever i join community servers),['bug'],0.41444444444444445
9673,closed,hsaturn,2024-03-25 13:25:45+00:00,2024-03-25 13:34:39+00:00,logic: label not found when it's too far,['bug'],0.14833333333333334
9670,closed,Mattilego,2024-03-23 21:18:45+00:00,2024-03-24 02:09:50+00:00,incorrect build number on startup screen,['bug'],4.851388888888889
9663,closed,limonovthesecond2,2024-03-21 12:32:00+00:00,2024-03-21 14:32:54+00:00,interacting with the minimap interrupts mining,['bug'],2.015
9659,closed,GolfingCentaur,2024-03-20 05:40:41+00:00,2024-03-24 22:44:03+00:00,text extending off screen (text formatting issue in portrait screen orientation),['bug'],113.05611111111111
9658,closed,broganeuquoixe,2024-03-19 20:04:51+00:00,2024-03-19 20:09:27+00:00,derelict team can fix derelict blocks,['bug'],0.07666666666666666
9657,closed,broganeuquoixe,2024-03-19 19:35:11+00:00,2024-03-19 20:11:54+00:00,names in minimap display in the wrong position,['bug'],0.6119444444444444
9656,closed,broganeuquoixe,2024-03-19 18:50:36+00:00,2024-03-19 19:09:24+00:00,payload loader constantly uses power even if empty,['bug'],0.31333333333333335
9652,closed,Lancelot1151,2024-03-18 09:43:40+00:00,2024-03-18 13:29:12+00:00,can't export game data,['bug'],3.758888888888889
9651,closed,JasonP01,2024-03-18 07:45:25+00:00,2024-03-18 13:28:46+00:00,poly repairs enemy phase walls,['bug'],5.7225
9649,closed,n00b660,2024-03-18 06:52:13+00:00,2024-03-18 07:00:25+00:00,can't get mods,['bug'],0.13666666666666666
9648,closed,Remenod,2024-03-17 18:43:04+00:00,2024-03-17 20:49:28+00:00,endless heat duplication,['bug'],2.1066666666666665
9645,closed,noashie,2024-03-16 09:13:59+00:00,2024-03-16 13:49:20+00:00,animated shield bug,['bug'],4.589166666666666
9643,closed,Kazbek08,2024-03-15 16:41:40+00:00,2024-03-15 17:04:21+00:00,huawei honor 10x late ,['bug'],0.37805555555555553
9641,closed,MEEPofFaith,2024-03-14 17:00:26+00:00,2024-03-14 23:55:22+00:00,dependencies are not properly checked for,['bug'],6.915555555555556
9640,closed,GORECKIPL,2024-03-14 07:04:26+00:00,2024-03-14 13:49:49+00:00,crash when load zip save ,['bug'],6.756388888888889
9638,closed,KILE9966,2024-03-12 08:25:04+00:00,2024-03-12 13:43:54+00:00,ravine ləunching from mistake,['bug'],5.313888888888889
9637,closed,Karl-Markkus,2024-03-11 20:25:02+00:00,2024-03-11 20:43:26+00:00,erekir sector basin event bug,['bug'],0.30666666666666664
9635,closed,Tooto,2024-03-11 06:12:33+00:00,2024-03-11 14:47:54+00:00,repeatedly crash in campaign on samsung s24 ultra,['bug'],8.589166666666667
9634,closed,zaky1122,2024-03-10 20:31:19+00:00,2024-03-10 20:48:23+00:00,"mindustry, bug whit level",['bug'],0.28444444444444444
9632,closed,SITUVNgcd,2024-03-10 16:48:16+00:00,2024-03-10 17:46:51+00:00,logic radar command can't detect erekir core unit,['bug'],0.9763888888888889
9628,closed,Chrysaloid,2024-03-09 01:00:57+00:00,2024-03-09 02:04:44+00:00,the name field when saving a new schematic has lower character limit than the name field when editing a schematic,['bug'],1.0630555555555556
9623,closed,M0v0,2024-03-07 14:10:46+00:00,2024-03-07 14:58:30+00:00,app closes,['bug'],0.7955555555555556
9622,closed,summoner001,2024-03-04 16:15:52+00:00,2024-03-05 01:36:15+00:00,missing texts from the bundle.properties for translation in the settings > controls menu,['bug'],9.339722222222223
9618,closed,dextruax,2024-03-03 16:29:38+00:00,2024-03-03 17:13:35+00:00,game not launching if not connect to the internet.,['bug'],0.7325
9611,closed,Twcash,2024-03-03 01:17:58+00:00,2024-03-03 01:39:31+00:00,telekinetic mass drivrs,['bug'],0.3591666666666667
9607,closed,Rundll86,2024-03-02 12:53:48+00:00,2024-03-02 13:56:00+00:00,unable to launch to ruinous shores (custom build),['bug'],1.0366666666666666
9605,closed,DeadPig99520,2024-03-02 08:53:29+00:00,2024-03-02 13:55:07+00:00,gpu bug,['bug'],5.027222222222222
9597,closed,andy-bunny,2024-02-27 22:29:57+00:00,2024-02-27 22:59:31+00:00,error when updating,['bug'],0.49277777777777776
9596,closed,Ranana97,2024-02-27 17:54:19+00:00,2024-02-27 18:12:56+00:00,exporting fails,['bug'],0.31027777777777776
9595,closed,Galahadagent,2024-02-27 05:36:00+00:00,2024-02-27 05:41:34+00:00,"erekir walls are not increasing health properly using evoke, incite and emanate ",['bug'],0.09277777777777778
9592,closed,JasonP01,2024-02-25 03:48:56+00:00,2024-02-25 04:32:34+00:00,payload radar or beam node bug,['bug'],0.7272222222222222
9591,closed,summoner001,2024-02-24 15:21:18+00:00,2024-02-24 15:52:13+00:00,missing sector names when the actual sector is captured,['bug'],0.5152777777777777
9587,closed,Floppy4,2024-02-23 12:13:45+00:00,2024-02-23 14:44:55+00:00,crash,['bug'],2.5194444444444444
9586,closed,Floppy4,2024-02-23 12:10:57+00:00,2024-02-23 12:11:24+00:00,crash :(,['bug'],0.0075
9580,closed,Alstin112,2024-02-21 22:12:16+00:00,2024-02-21 22:34:13+00:00,ghost icons and icons that are not stripped,['bug'],0.36583333333333334
9573,closed,GeoNew2011,2024-02-19 08:16:48+00:00,2024-02-19 15:20:29+00:00,glow do not match pattern,['bug'],7.061388888888889
9572,closed,00001H,2024-02-19 06:33:42+00:00,2024-02-19 15:06:06+00:00,eerkir minimap is completely broken: y is flipped,['bug'],8.54
9571,closed,00001H,2024-02-19 06:20:29+00:00,2024-02-19 14:06:08+00:00,"ui respects windows display scale(125%) when run from exe, but not jar",['bug'],7.760833333333333
9570,closed,alekey313,2024-02-19 02:05:35+00:00,2024-02-19 03:07:33+00:00,error,['bug'],1.0327777777777778
9569,closed,A4-Tacks,2024-02-18 09:18:57+00:00,2024-02-18 13:55:41+00:00,"logic parser, jump to eof label failed",['bug'],4.612222222222222
9566,closed,kJNCwBUq,2024-02-17 10:39:07+00:00,2024-02-17 14:03:17+00:00,processor illegally writes data to the world cell via unit getblock,['bug'],3.4027777777777777
9565,closed,huifeideteji,2024-02-16 17:19:08+00:00,2024-02-16 17:21:03+00:00,a bug in map selector,['bug'],0.03194444444444444
9564,closed,huifeideteji,2024-02-16 17:16:25+00:00,2024-02-16 17:21:12+00:00,a bug in map selector,['bug'],0.07972222222222222
9563,closed,huifeideteji,2024-02-16 17:16:04+00:00,2024-02-16 17:23:02+00:00,a bug in map selector,['bug'],0.11611111111111111
9562,closed,limonovthesecond2,2024-02-16 12:48:35+00:00,2024-02-16 14:50:21+00:00,nova don't change speed when in flight,['bug'],2.0294444444444446
9561,closed,SunkyMP3G,2024-02-16 09:25:24+00:00,2024-02-16 14:52:17+00:00,turrets with multi-shots don't stop shooting when destroyed,['bug'],5.448055555555555
9558,closed,nikitadan4pi,2024-02-16 08:35:56+00:00,2024-02-16 14:42:42+00:00,import/export bug,['bug'],6.112777777777778
9552,closed,phinner,2024-02-14 10:16:31+00:00,2024-02-14 15:37:56+00:00,language in trace dialog is always english,['bug'],5.356944444444444
9551,closed,Trumbert,2024-02-14 10:00:05+00:00,2024-02-14 12:43:41+00:00,mod browser gives an error!!!!!!,['bug'],2.7266666666666666
9548,closed,Geodafence,2024-02-13 20:37:57+00:00,2024-02-14 02:22:16+00:00,resizing a map unbinds all processor links,['bug'],5.738611111111111
9539,closed,TheRamenChef,2024-02-12 00:59:30+00:00,2024-02-12 01:14:51+00:00,roboticist achievement unlocks at 30 units,['bug'],0.25583333333333336
9538,closed,limonovthesecond2,2024-02-11 13:57:40+00:00,2024-02-11 14:06:32+00:00,nova can't fly fast after shoot,['bug'],0.14777777777777779
9537,closed,SITUVNgcd,2024-02-11 13:24:33+00:00,2024-02-11 14:00:54+00:00,turbine condenser show wrong value in schematic,['bug'],0.6058333333333333
9535,closed,JasonP01,2024-02-11 09:08:02+00:00,2024-02-11 13:56:27+00:00,button error,['bug'],4.8069444444444445
9534,closed,cassiopc26,2024-02-10 21:34:16+00:00,2024-02-10 22:14:00+00:00,crash issue,['bug'],0.6622222222222223
9528,closed,JasonP01,2024-02-09 00:39:03+00:00,2024-02-09 00:52:22+00:00,@solid returning null for all walls,['bug'],0.22194444444444444
9525,closed,JasonP01,2024-02-07 03:04:33+00:00,2024-02-07 03:17:17+00:00,math geometry.d8 incorrect ingame (sorry if this belongs in arc instead),['bug'],0.21222222222222223
9524,closed,bhimio1,2024-02-07 00:00:43+00:00,2024-02-07 00:03:15+00:00,scatter not working,['bug'],0.042222222222222223
9522,closed,Haznobrain,2024-02-06 12:42:46+00:00,2024-02-06 14:33:56+00:00,pointlaserbullettype does not work properly on units.,['bug'],1.8527777777777779
9521,closed,Starshawn13,2024-02-06 04:40:08+00:00,2024-02-06 04:43:52+00:00,campaign solo missons seemingly reverting to a lose after closing app and other sectors not gathering resources,['bug'],0.06222222222222222
9520,closed,yesC48,2024-02-06 01:00:01+00:00,2024-02-06 02:19:46+00:00,incite auto-target inconsistencies ,['bug'],1.3291666666666666
9519,closed,Trsmywhesrmyyntsnytcyjcmyxh6df,2024-02-05 03:14:15+00:00,2024-02-05 03:15:50+00:00,bug,['bug'],0.02638888888888889
9513,closed,justintimetodosmth,2024-02-03 08:46:55+00:00,2024-02-03 15:16:31+00:00,making a schematic with a block that is in a mod and disabling that mod will result in a blank schematic.,['bug'],6.493333333333333
