number,state,created_at,closed_at,title
8749,closed,2023-06-24 00:19:56+00:00,2023-07-06 08:33:23+00:00,Update bundle_ko.properties
8747,closed,2023-06-22 18:18:56+00:00,2023-06-24 01:27:05+00:00,Use Base64 to Encode schematic filename
8731,closed,2023-06-19 17:44:13+00:00,2023-09-02 19:06:00+00:00,A few changes
8723,closed,2023-06-18 12:30:01+00:00,2023-06-18 13:25:47+00:00,Fix Anuken/Mindustry#8718
8716,closed,2023-06-17 12:00:17+00:00,2023-11-30 15:16:48+00:00,Flag Float Display
8699,closed,2023-06-10 16:15:55+00:00,2023-06-15 17:28:17+00:00,Save map tags
8691,closed,2023-06-09 04:00:15+00:00,2024-04-28 06:38:21+00:00,add a invincibility field to blocks
8690,closed,2023-06-08 05:39:25+00:00,2023-06-27 18:45:54+00:00,Updated German Translation (again... but bigger)
8674,closed,2023-06-04 12:49:35+00:00,2023-09-30 12:33:30+00:00,Configurable unit movement speed
8670,closed,2023-06-04 05:54:29+00:00,2023-06-19 04:51:24+00:00,Weather World Processor
8662,closed,2023-06-03 04:24:27+00:00,2023-06-03 04:34:03+00:00,Update Vietnamese translattion
8654,closed,2023-05-31 14:08:10+00:00,2023-06-03 04:07:53+00:00,Update Vietnamese translation
8643,closed,2023-05-26 21:51:41+00:00,2024-04-21 09:27:49+00:00,ChatMode & history bugfix
8635,closed,2023-05-23 22:12:39+00:00,2024-03-29 19:14:49+00:00,Add test case for Inventories
8634,closed,2023-05-23 21:56:54+00:00,2023-05-23 22:14:47+00:00,Add test case for modules
8616,closed,2023-05-16 09:08:28+00:00,2023-06-16 03:33:36+00:00,Allow admins to cancel the votekick
8614,closed,2023-05-16 03:53:55+00:00,2023-05-16 04:20:18+00:00, only take the non color coding charecters into account for player name length
8609,closed,2023-05-15 11:39:15+00:00,2023-06-19 11:19:06+00:00,Update bundle_ca.properties
8597,closed,2023-05-13 06:33:30+00:00,2023-07-24 02:18:57+00:00,Update servers_v6.json
8586,closed,2023-05-12 12:50:18+00:00,2023-06-12 01:32:21+00:00,"Remove Team#6, confilct with neoplastic"
8574,closed,2023-05-09 23:59:27+00:00,2023-05-24 20:49:52+00:00,predictTarget for Turrets
8567,closed,2023-05-07 18:46:53+00:00,2023-05-07 18:48:16+00:00,Update servers_v7.json
8566,closed,2023-05-07 18:41:04+00:00,2023-05-07 18:48:31+00:00,Update servers_v7.json
8547,closed,2023-04-30 12:00:50+00:00,2023-07-26 10:45:32+00:00,Arbitrary Block Sorting & De-Enum Categories
8541,closed,2023-04-28 22:44:00+00:00,2023-04-29 02:10:10+00:00,No background at minimap
8503,closed,2023-04-12 12:51:18+00:00,2023-04-12 12:59:56+00:00,Update servers_v7.json
8502,closed,2023-04-11 23:11:26+00:00,2023-04-16 02:16:30+00:00,serpulo payload conveyor & router are now underBullets
8493,closed,2023-04-09 11:24:06+00:00,2023-05-09 15:10:44+00:00,BetterPlanetSelection
8484,closed,2023-04-07 13:56:51+00:00,2023-04-07 14:00:29+00:00,Ubdated
8472,closed,2023-04-04 19:25:57+00:00,2023-04-09 11:06:37+00:00,Better Planet Selection UI
8457,closed,2023-04-01 11:47:48+00:00,2023-04-06 22:14:29+00:00,tweak cultivator ratios to keep the designers on their toes
8456,closed,2023-04-01 11:37:07+00:00,2024-03-29 19:15:14+00:00,Update CONTRIBUTING.md
8453,closed,2023-04-01 08:00:42+00:00,2023-06-03 06:49:53+00:00,Update bundle_zh_CN.properties
8451,closed,2023-04-01 01:01:50+00:00,2023-04-01 02:03:12+00:00,Fix hjson batteries without a drawer crashing the game
8445,closed,2023-03-30 08:32:47+00:00,2023-05-08 21:03:10+00:00,Update Menus.java
8444,closed,2023-03-29 03:14:42+00:00,2023-07-26 05:47:12+00:00,new server tamazia
8442,closed,2023-03-27 16:49:12+00:00,2023-03-28 18:03:48+00:00,Return `Setting` value type for each `pref`methods.
8431,closed,2023-03-26 08:23:56+00:00,2023-06-07 17:56:01+00:00,Fixed DNS pollution as China
8425,closed,2023-03-24 10:07:16+00:00,2023-03-28 08:37:51+00:00,new server CreateDustry
8417,closed,2023-03-22 01:23:56+00:00,2023-03-22 16:14:07+00:00,Damage multipliers aren't applied to bullet lightning damage
8407,closed,2023-03-18 16:44:15+00:00,2023-04-09 18:46:39+00:00,Update servers_v7.json
8405,closed,2023-03-18 14:48:07+00:00,2023-03-18 15:02:43+00:00,Add `Events.fire(Trigger.unitCommandChange);` when select/remove units by type.
8396,closed,2023-03-16 07:50:51+00:00,2023-03-16 08:06:28+00:00,update bundle_be.properties
8385,closed,2023-03-10 21:49:53+00:00,2023-10-09 20:43:21+00:00,Index wall ores
8384,closed,2023-03-10 20:34:12+00:00,2023-03-25 17:51:05+00:00,Scale efficiency of attribute crafters
8383,closed,2023-03-10 09:40:50+00:00,2023-03-10 09:47:04+00:00,Update bundle_be.properties
8377,closed,2023-03-08 19:51:59+00:00,2024-03-29 19:15:25+00:00,Remove Omnidustry from servers_v7.json
8360,closed,2023-03-04 04:24:56+00:00,2023-03-08 14:16:17+00:00,Force projectors with variable sides and rotation
8354,closed,2023-03-01 16:04:31+00:00,2023-03-07 17:13:36+00:00,Add all block names and others
8353,closed,2023-02-28 03:31:39+00:00,2023-03-04 03:05:02+00:00,Don't kill shooter if shooter is already dead
8343,closed,2023-02-25 16:43:26+00:00,2023-02-25 18:28:11+00:00,Update servers_v7.json
8336,closed,2023-02-24 06:20:30+00:00,2023-02-26 12:23:31+00:00,Update servers_v7.json
8329,closed,2023-02-22 11:35:47+00:00,2023-02-22 15:25:04+00:00,Belarusian translate update
8313,closed,2023-02-18 17:03:41+00:00,2023-02-19 16:36:55+00:00,Update servers_v7.json
8303,closed,2023-02-15 00:29:18+00:00,2023-02-15 13:37:46+00:00,Fixed issue with Blocks scaledHealth
8289,closed,2023-02-11 14:47:28+00:00,2023-02-11 14:48:45+00:00,update servers_v7.json
8285,closed,2023-02-10 19:43:37+00:00,2023-02-11 06:57:36+00:00,Update servers_v7.json
8284,closed,2023-02-10 12:10:48+00:00,2023-02-15 15:38:26+00:00,Update servers_v7.json
8283,closed,2023-02-10 10:11:06+00:00,2023-02-13 14:56:15+00:00,Update servers_v7.json
8280,closed,2023-02-10 04:37:17+00:00,2023-03-21 15:27:52+00:00,Add forcible move
8274,closed,2023-02-09 09:53:43+00:00,2023-02-09 14:19:03+00:00,No random based on hashcode.
8268,closed,2023-02-08 03:24:25+00:00,2023-02-09 14:20:43+00:00,Add forcible move
8263,closed,2023-02-06 14:40:07+00:00,2023-02-06 16:43:52+00:00,Remove omnidustry from serverlist
8261,closed,2023-02-06 02:29:56+00:00,2023-02-09 06:43:00+00:00,Remove dead servers v7
8258,closed,2023-02-05 10:18:59+00:00,2023-03-08 14:18:34+00:00,Update servers_v7.json
8254,closed,2023-02-03 23:04:43+00:00,2023-02-05 19:43:08+00:00,Update servers_v7.json
8250,closed,2023-02-03 11:40:19+00:00,2023-02-03 22:58:51+00:00,"Change static ip v4 to DNSv4/v6, rename themselves"
8246,closed,2023-02-01 18:59:10+00:00,2023-02-01 20:20:24+00:00,Random servers order + refactoring
8243,closed,2023-01-31 19:44:26+00:00,2023-02-01 16:28:55+00:00,Ukr translation
8229,closed,2023-01-28 07:22:52+00:00,2023-02-02 17:15:36+00:00,Added gameData folder detection.
8227,closed,2023-01-27 09:55:16+00:00,2023-02-15 21:04:22+00:00,Bad drawArrow for mobile
8206,closed,2023-01-22 16:24:02+00:00,2023-02-25 18:34:04+00:00,Removal of OmniDustry from servers_v7.json
8203,closed,2023-01-22 11:57:57+00:00,2023-01-22 14:29:38+00:00,Rename omnidustry server to ohiodustry
8199,closed,2023-01-19 16:01:36+00:00,2023-02-09 14:21:02+00:00,Add hiddenMods in ConnectPacket event
8197,closed,2023-01-19 03:35:15+00:00,2023-09-20 03:50:09+00:00,Adds control groups
8143,closed,2023-01-10 05:45:07+00:00,2023-01-10 07:27:47+00:00,Update servers_v7.json
8136,closed,2023-01-09 07:40:28+00:00,2023-01-10 07:04:42+00:00,my server
8130,closed,2023-01-08 07:50:04+00:00,2023-01-14 00:14:42+00:00,erekir T4s' price rebalanced
8121,closed,2023-01-06 18:17:03+00:00,2023-06-27 20:02:27+00:00,"Removed comma in ""the game will now exit"" dialogue"
8113,closed,2023-01-02 06:50:31+00:00,2023-01-15 13:14:50+00:00,Update servers_v7.json
8108,closed,2023-01-01 13:22:22+00:00,2023-01-07 17:55:04+00:00,Descriptions for editor blocks
8101,closed,2022-12-30 08:26:56+00:00,2023-01-08 03:36:01+00:00,server_v7.json
8097,closed,2022-12-29 20:21:46+00:00,2023-01-08 05:19:49+00:00,Add RCR
8096,closed,2022-12-29 19:01:11+00:00,2023-01-07 17:39:03+00:00,Update servers_v7.json
8089,closed,2022-12-26 15:53:59+00:00,2022-12-26 16:01:27+00:00,CRASH FIX: logic + payload router
8087,closed,2022-12-26 06:01:24+00:00,2023-01-07 21:21:58+00:00,Fixed Payload Conveyor caused crash
8083,closed,2022-12-24 08:52:53+00:00,2023-01-08 00:01:21+00:00,Update servers_v7.json
8081,closed,2022-12-22 07:06:49+00:00,2022-12-23 22:35:43+00:00,Delist omega for spoofing player count
8079,closed,2022-12-22 05:22:30+00:00,2022-12-22 06:55:35+00:00,Delist fish for spoofing player counts
8077,closed,2022-12-21 18:09:43+00:00,2023-01-07 16:29:04+00:00,Hides canvases if logic displays are disabled in the settings
8070,closed,2022-12-19 08:12:10+00:00,2023-06-23 10:00:47+00:00,Bug fix from MindustryX
8063,closed,2022-12-16 19:50:17+00:00,2023-01-04 12:32:03+00:00,Update servers_v7.json
8053,closed,2022-12-11 12:28:15+00:00,2023-01-08 06:24:06+00:00,updated dutch translations
8040,closed,2022-12-08 16:08:25+00:00,2023-01-07 16:37:08+00:00,Speed.
8035,closed,2022-12-07 15:09:08+00:00,2023-02-09 03:49:33+00:00,Update bundle_ja.properties
8029,closed,2022-12-06 09:54:16+00:00,2023-02-01 16:41:43+00:00,Update servers_v7.json
8018,closed,2022-12-03 06:14:47+00:00,2022-12-25 09:29:19+00:00,one of the The Devil's server has been replaced by a new server
7988,closed,2022-11-23 20:27:15+00:00,2023-10-01 18:37:11+00:00,Update to bundle.pl
7987,closed,2022-11-23 16:31:00+00:00,2023-01-08 05:17:06+00:00,Update bundle_es.properties
7985,closed,2022-11-22 23:32:51+00:00,2022-12-29 18:59:58+00:00,Update servers_v7.json
7984,closed,2022-11-22 22:31:44+00:00,2022-12-30 17:16:11+00:00,Update Polish translation (bundle_pl.properties)
7981,closed,2022-11-22 17:41:43+00:00,2022-11-23 04:44:42+00:00,Update servers_v7.json
7980,closed,2022-11-22 17:17:43+00:00,2023-01-08 05:14:48+00:00,Update v7 server list
7976,closed,2022-11-21 23:46:13+00:00,2023-09-09 17:00:25+00:00,Update bundle_pl.properties
7974,closed,2022-11-21 21:07:06+00:00,2022-11-22 17:20:05+00:00,Removal of servers doing ilegal actions + affecting community
7969,closed,2022-11-21 09:41:26+00:00,2023-01-08 04:35:09+00:00,Added VanillaDustry
7966,closed,2022-11-20 14:55:22+00:00,2023-04-22 01:54:47+00:00,let (Burst-)Drills and Mend-/OverdriveProjectors use drawers (broken icongen)
7960,closed,2022-11-20 01:44:18+00:00,2022-11-20 01:44:34+00:00,flatten branches
7956,closed,2022-11-19 16:59:34+00:00,2022-11-20 01:27:15+00:00,let Drills/BurstDrills use drawers
7954,closed,2022-11-19 15:41:23+00:00,2023-07-26 06:06:15+00:00,add new v7 server for ALEX
