number,state,created_at,merged_at,closed_at,title,time_to_merge
9829,closed,2024-05-09 09:48:20+00:00,2024-05-09 13:13:39+00:00,2024-05-09 13:13:39+00:00,Update servers_v7.json,3.4219444444444442
9825,closed,2024-05-08 12:46:43+00:00,2024-05-08 14:00:05+00:00,2024-05-08 14:00:05+00:00,Update servers_v7.json,1.2227777777777777
9814,closed,2024-05-05 16:38:07+00:00,2024-05-05 17:49:57+00:00,2024-05-05 17:49:58+00:00,Update servers_v7.json,1.1972222222222222
9810,closed,2024-05-04 15:27:09+00:00,2024-05-04 15:29:38+00:00,2024-05-04 15:29:39+00:00,Update servers_v7.json - Add TSR Custom Server,0.04138888888888889
9809,closed,2024-05-04 13:29:12+00:00,2024-05-04 13:42:29+00:00,2024-05-04 13:42:29+00:00,Update servers_v7.json,0.22138888888888889
9808,closed,2024-05-04 12:35:26+00:00,2024-05-04 13:18:59+00:00,2024-05-04 13:18:59+00:00,TallBlock layering support as it apparently intended to be,0.7258333333333333
9807,closed,2024-05-04 06:32:35+00:00,2024-05-04 13:21:44+00:00,2024-05-04 13:21:44+00:00,Update bundle_hu.properties,6.819166666666667
9802,closed,2024-05-02 13:56:34+00:00,2024-05-02 19:56:10+00:00,2024-05-02 19:56:10+00:00,Updated the core landing sound and added a launch sound,5.993333333333333
9801,closed,2024-05-02 10:58:10+00:00,2024-05-02 13:41:59+00:00,2024-05-02 13:41:59+00:00, Call onRemoved() in StatusEffect.java when an effect is removed,2.730277777777778
9798,closed,2024-04-30 12:05:22+00:00,2024-04-30 13:43:53+00:00,2024-04-30 13:43:53+00:00,Update servers_v7.json,1.6419444444444444
9796,closed,2024-04-29 19:07:54+00:00,2024-04-29 20:48:54+00:00,2024-04-29 20:48:54+00:00,Update servers_v7.json,1.6833333333333333
9794,closed,2024-04-29 05:17:22+00:00,2024-04-29 10:18:23+00:00,2024-04-29 10:18:23+00:00,Update servers_v7.json,5.016944444444444
9789,closed,2024-04-28 01:45:25+00:00,2024-04-28 01:52:05+00:00,2024-04-28 01:52:05+00:00,update servers_v7,0.1111111111111111
9786,closed,2024-04-27 09:20:37+00:00,2024-04-27 22:42:01+00:00,2024-04-27 22:42:01+00:00,Update bundle_hu.properties,13.356666666666667
9783,closed,2024-04-26 12:36:30+00:00,2024-04-26 14:15:39+00:00,2024-04-26 14:15:39+00:00,Update servers_v7.json,1.6525
9778,closed,2024-04-24 20:03:04+00:00,2024-04-28 13:53:18+00:00,2024-04-28 13:53:18+00:00,Enhance json mod content load order,89.83722222222222
9777,closed,2024-04-24 18:14:31+00:00,2024-05-03 18:11:23+00:00,2024-05-03 18:11:23+00:00,Add turret ammo capacity to the in-game help,215.9477777777778
9776,closed,2024-04-24 15:00:07+00:00,2024-04-24 16:50:27+00:00,2024-04-24 16:50:27+00:00,Eradication Mindustry finally getting stable UK nodes,1.8388888888888888
9774,closed,2024-04-23 16:01:52+00:00,2024-04-23 23:20:26+00:00,2024-04-23 23:20:26+00:00,Update servers_v7.json,7.309444444444445
9773,closed,2024-04-23 12:43:25+00:00,2024-06-01 13:32:57+00:00,2024-06-01 13:32:57+00:00,Update Korean translations,936.8255555555555
9772,closed,2024-04-23 06:00:27+00:00,2024-04-23 13:19:40+00:00,2024-04-23 13:19:40+00:00,Update servers_v7.json,7.320277777777778
9766,closed,2024-04-21 18:06:32+00:00,2024-06-01 13:33:17+00:00,2024-06-01 13:33:17+00:00,Update bundle_es.properties,979.4458333333333
9756,closed,2024-04-19 09:55:38+00:00,2024-04-21 15:02:04+00:00,2024-04-21 15:02:04+00:00,Update bundle_es.properties,53.10722222222222
9755,closed,2024-04-19 05:20:17+00:00,2024-04-19 13:40:47+00:00,2024-04-19 13:40:47+00:00,Disable leg and crush damage on disarmed units,8.341666666666667
9753,closed,2024-04-18 05:07:46+00:00,2024-04-18 13:17:14+00:00,2024-04-18 13:17:14+00:00,Update servers_v7.json,8.157777777777778
9749,closed,2024-04-15 12:27:52+00:00,2024-04-15 13:03:59+00:00,2024-04-15 13:03:59+00:00,Added offset fields to DrawFlame,0.6019444444444444
9748,closed,2024-04-14 17:16:33+00:00,2024-04-14 17:35:36+00:00,2024-04-14 17:35:36+00:00,Update servers_v7.json,0.3175
9744,closed,2024-04-14 09:56:50+00:00,2024-04-14 14:06:13+00:00,2024-04-14 14:06:13+00:00,Completely checked and transtaled Vietnamese,4.1563888888888885
9743,closed,2024-04-13 13:27:11+00:00,2024-04-13 14:00:15+00:00,2024-04-13 14:00:15+00:00,Update servers_v7.json - Add TSR PVP and TSR Anarchy,0.5511111111111111
9741,closed,2024-04-13 06:46:00+00:00,2024-04-13 13:21:42+00:00,2024-04-13 13:21:42+00:00,add more ip for abcxyz server,6.595
9734,closed,2024-04-12 13:22:32+00:00,2024-04-12 13:33:48+00:00,2024-04-12 13:33:48+00:00,I want to bring back the abcxyz server,0.18777777777777777
9729,closed,2024-04-08 23:21:44+00:00,2024-04-08 23:51:50+00:00,2024-04-08 23:51:50+00:00,Add ShapeMarker starting and ending angles,0.5016666666666667
9723,closed,2024-04-08 02:13:50+00:00,2024-04-09 15:16:49+00:00,2024-04-09 15:16:49+00:00,#9706 done smarter,37.04972222222222
9721,closed,2024-04-07 18:04:08+00:00,2024-04-07 18:15:49+00:00,2024-04-07 18:15:49+00:00,Update servers_v7.json,0.1947222222222222
9715,closed,2024-04-06 21:06:32+00:00,2024-04-07 02:15:24+00:00,2024-04-07 02:15:24+00:00,Host massmurder,5.147777777777778
9712,closed,2024-04-06 11:33:37+00:00,2024-04-06 13:50:08+00:00,2024-04-06 13:50:08+00:00,Update servers_v7.json,2.2752777777777777
9711,closed,2024-04-05 12:40:51+00:00,2024-04-05 12:52:59+00:00,2024-04-05 12:52:59+00:00,Update servers_v7.json,0.20222222222222222
9710,closed,2024-04-05 12:07:59+00:00,2024-04-18 18:35:09+00:00,2024-04-18 18:35:09+00:00,Update bundle_hu.properties,318.4527777777778
9706,closed,2024-04-04 02:20:05+00:00,2024-04-06 13:52:39+00:00,2024-04-06 13:52:39+00:00,Make ChildComp work with turrets,59.54277777777778
9704,closed,2024-04-02 22:27:22+00:00,2024-04-02 22:52:02+00:00,2024-04-02 22:52:02+00:00,Update servers_v7.json,0.4111111111111111
9703,closed,2024-04-02 09:50:45+00:00,2024-04-02 14:03:15+00:00,2024-04-02 14:03:15+00:00,"Fetching unit by type, build without type, and fixing a nullpointer crash",4.208333333333333
9700,closed,2024-04-01 10:24:06+00:00,2024-04-01 14:48:36+00:00,2024-04-01 14:48:36+00:00,Update servers_v7.json,4.408333333333333
9699,closed,2024-03-31 21:52:04+00:00,2024-04-06 13:50:19+00:00,2024-04-06 13:50:19+00:00,Update servers_v7.json,135.97083333333333
9698,closed,2024-03-31 20:38:49+00:00,2024-03-31 21:52:52+00:00,2024-03-31 21:52:52+00:00,Update servers_v7.json,1.2341666666666666
9697,closed,2024-03-31 20:29:08+00:00,2024-03-31 21:53:22+00:00,2024-03-31 21:53:22+00:00,Update servers_v7.json,1.403888888888889
9696,closed,2024-03-31 19:52:06+00:00,2024-03-31 20:16:59+00:00,2024-03-31 20:16:59+00:00,Fix pause toggling,0.4147222222222222
9694,closed,2024-03-31 18:36:09+00:00,2024-04-02 14:06:23+00:00,2024-04-02 14:06:23+00:00,Update Hungarian translation,43.50388888888889
9693,closed,2024-03-31 14:24:16+00:00,2024-04-01 14:46:44+00:00,2024-04-01 14:46:44+00:00,Enable full customization of core launching/landing animations.,24.374444444444446
9690,closed,2024-03-31 08:22:58+00:00,2024-04-01 14:30:14+00:00,2024-04-01 14:30:14+00:00,Update bundle_zh_CN.properties(ready to merge),30.121111111111112
9688,closed,2024-03-31 02:19:46+00:00,2024-03-31 02:29:39+00:00,2024-03-31 02:29:39+00:00,Add the Gradle Wrapper Validation action,0.16472222222222221
9685,closed,2024-03-29 16:50:18+00:00,2024-03-29 18:58:57+00:00,2024-03-29 18:58:57+00:00,Update servers_v7.json -  Add TSR Survival and TSR Attack,2.1441666666666666
9684,closed,2024-03-29 04:23:55+00:00,2024-03-29 19:01:59+00:00,2024-03-29 19:01:59+00:00,pierceFragCap,14.634444444444444
9683,closed,2024-03-28 05:46:02+00:00,2024-03-29 18:58:50+00:00,2024-03-29 18:58:50+00:00,Update servers_v7.json,37.21333333333333
9682,closed,2024-03-27 23:05:15+00:00,2024-03-29 19:02:46+00:00,2024-03-29 19:02:46+00:00,UK nodes switching internet for higher stability and lower ping,43.95861111111111
9680,closed,2024-03-26 18:06:04+00:00,2024-03-29 18:58:44+00:00,2024-03-29 18:58:44+00:00,Update servers_v7.json,72.87777777777778
9676,closed,2024-03-25 22:39:04+00:00,2024-03-25 23:20:26+00:00,2024-03-25 23:20:26+00:00,dfsfsdfdsdfsdsdfdsfdsdds,0.6894444444444444
9675,closed,2024-03-25 20:04:39+00:00,2024-03-29 19:02:34+00:00,2024-03-29 19:02:34+00:00,Update Hungarian translation,94.96527777777777
9674,closed,2024-03-25 17:43:53+00:00,2024-03-25 18:11:30+00:00,2024-03-25 18:11:30+00:00,Update servers_v7.json,0.4602777777777778
9672,closed,2024-03-24 22:08:10+00:00,2024-03-25 20:41:56+00:00,2024-03-25 20:41:56+00:00,Add TSR Sandbox to v7 serverlist,22.56277777777778
9671,closed,2024-03-24 18:10:50+00:00,2024-03-24 19:03:08+00:00,2024-03-24 19:03:08+00:00,Update servers_v7.json,0.8716666666666667
9669,closed,2024-03-23 08:56:58+00:00,2024-03-25 20:42:05+00:00,2024-03-25 20:42:05+00:00,Update servers_v7.json,59.75194444444445
9666,closed,2024-03-23 02:30:39+00:00,2024-03-25 17:31:03+00:00,2024-03-25 17:31:03+00:00,`Produce` objective should also be automatically added to liquids (json),63.00666666666667
9665,closed,2024-03-22 10:23:30+00:00,2024-04-11 21:56:34+00:00,2024-04-11 21:56:34+00:00,"Custom rules dialog enhancement, small fixes",491.5511111111111
9662,closed,2024-03-21 10:42:30+00:00,2024-03-25 20:42:15+00:00,2024-03-25 20:42:15+00:00,Fix poly,105.99583333333334
9661,closed,2024-03-21 00:39:37+00:00,2024-03-21 00:42:45+00:00,2024-03-21 00:42:45+00:00,Update servers_v7.json,0.052222222222222225
9660,closed,2024-03-21 00:14:15+00:00,2024-03-21 00:15:06+00:00,2024-03-21 00:15:07+00:00,UK server finally working (probably),0.014166666666666666
9655,closed,2024-03-19 08:55:10+00:00,2024-03-19 18:27:17+00:00,2024-03-19 18:27:17+00:00,Update servers_v7.json,9.535277777777777
9654,closed,2024-03-19 02:35:41+00:00,2024-03-30 04:11:39+00:00,2024-03-30 04:11:39+00:00,Better Ability Stats,265.59944444444443
9653,closed,2024-03-18 11:33:25+00:00,2024-03-18 13:30:30+00:00,2024-03-18 13:30:30+00:00,Update servers_v7.json,1.9513888888888888
9650,closed,2024-03-18 07:19:30+00:00,2024-03-18 13:30:18+00:00,2024-03-18 13:30:18+00:00,"Make a ""unitCommandPosition"" event so that unit commands issued to non-attack coordinates can still be listened for",6.18
9646,closed,2024-03-16 12:16:53+00:00,2024-03-16 14:49:13+00:00,2024-03-16 14:49:13+00:00,Update servers_v7.json,2.5388888888888888
9644,closed,2024-03-15 16:47:46+00:00,2024-03-16 04:17:17+00:00,2024-03-16 04:17:17+00:00,Moving more ports from UK to EU,11.491944444444444
9642,closed,2024-03-15 09:11:51+00:00,2024-03-15 15:08:23+00:00,2024-03-15 15:08:23+00:00,Full icon overrides,5.942222222222222
9639,closed,2024-03-13 12:30:30+00:00,2024-03-16 04:17:41+00:00,2024-03-16 04:17:41+00:00,Update servers_v7.json,63.78638888888889
9636,closed,2024-03-11 13:29:37+00:00,2024-03-16 04:17:49+00:00,2024-03-16 04:17:49+00:00,Update servers_v7.json,110.80333333333333
9631,closed,2024-03-09 17:57:18+00:00,2024-03-10 13:51:15+00:00,2024-03-10 13:51:15+00:00,Update servers_v7.json,19.899166666666666
9630,closed,2024-03-09 17:01:28+00:00,2024-03-09 22:56:58+00:00,2024-03-09 22:56:58+00:00,Update bundle_ca.properties,5.925
9629,closed,2024-03-09 08:12:04+00:00,2024-03-09 22:57:52+00:00,2024-03-09 22:57:52+00:00,Update servers_v7.json,14.763333333333334
9627,closed,2024-03-08 17:56:27+00:00,2024-03-08 18:14:36+00:00,2024-03-08 18:14:36+00:00,Update servers_v7.json,0.3025
9626,closed,2024-03-08 17:49:59+00:00,2024-03-09 23:01:32+00:00,2024-03-09 23:01:32+00:00,Update servers_v7.json,29.1925
9621,closed,2024-03-04 05:51:09+00:00,2024-03-14 18:25:03+00:00,2024-03-14 18:25:03+00:00,Weather with World Logic,252.565
9617,closed,2024-03-03 14:22:05+00:00,2024-03-03 14:59:12+00:00,2024-03-03 14:59:12+00:00,Moving rapid pvp from UK to Europe,0.6186111111111111
9616,closed,2024-03-03 13:07:35+00:00,2024-03-14 16:12:29+00:00,2024-03-14 16:12:29+00:00,Allow categorized sprite names to not be prefixed.,267.08166666666665
9615,closed,2024-03-03 11:26:24+00:00,2024-03-03 14:10:49+00:00,2024-03-03 14:10:49+00:00,Update servers_v7.json,2.7402777777777776
9614,closed,2024-03-03 10:19:09+00:00,2024-03-09 16:05:26+00:00,2024-03-09 16:05:26+00:00,Update bundle_hu.properties,149.77138888888888
9613,closed,2024-03-03 07:42:20+00:00,2024-03-03 17:22:45+00:00,2024-03-03 17:22:46+00:00,Update servers_v7.json,9.67361111111111
9612,closed,2024-03-03 05:10:37+00:00,2024-03-03 05:29:03+00:00,2024-03-03 05:29:03+00:00,add shield to settable list,0.30722222222222223
9610,closed,2024-03-02 15:48:29+00:00,2024-03-02 15:49:11+00:00,2024-03-02 15:49:11+00:00,Cleanup GameState,0.011666666666666667
9609,closed,2024-03-02 15:25:55+00:00,2024-03-02 15:57:33+00:00,2024-03-02 15:57:33+00:00,"Update bundle_hu.properties, description.txt and full_description.txt",0.5272222222222223
9604,closed,2024-03-02 01:59:38+00:00,2024-03-02 02:13:55+00:00,2024-03-02 02:13:55+00:00,One last ip/port update for Atomic Servers,0.23805555555555555
9602,closed,2024-03-01 14:41:12+00:00,2024-03-01 14:42:30+00:00,2024-03-01 14:42:30+00:00,Agua  IV,0.021666666666666667
9601,closed,2024-03-01 13:50:46+00:00,2024-03-01 14:42:05+00:00,2024-03-01 14:42:05+00:00,Per-tile edge regions,0.8552777777777778
9599,closed,2024-02-28 18:44:42+00:00,2024-03-01 17:50:28+00:00,2024-03-01 17:50:28+00:00,Shader getShaderFi check for mod files,47.096111111111114
9598,closed,2024-02-28 17:28:56+00:00,2024-02-28 18:25:03+00:00,2024-02-28 18:25:03+00:00,Update servers_v7.json,0.9352777777777778
9590,closed,2024-02-24 14:27:41+00:00,2024-02-24 14:36:54+00:00,2024-02-24 14:36:54+00:00,Update servers_v7.json,0.15361111111111111
9589,closed,2024-02-24 04:31:39+00:00,2024-02-24 04:50:55+00:00,2024-02-24 04:50:55+00:00,Update servers_v7.json,0.3211111111111111
9588,closed,2024-02-23 20:13:02+00:00,2024-02-23 22:11:26+00:00,2024-02-23 22:11:26+00:00,Update servers_v7.json,1.9733333333333334
9585,closed,2024-02-23 08:16:31+00:00,2024-02-23 14:45:33+00:00,2024-02-23 14:45:33+00:00,Update servers_v7.json,6.483888888888889
9584,closed,2024-02-22 16:54:41+00:00,2024-02-22 17:53:31+00:00,2024-02-22 17:53:31+00:00,Yay dynamic IP,0.9805555555555555
9583,closed,2024-02-22 07:15:14+00:00,2024-02-26 14:34:37+00:00,2024-02-26 14:34:37+00:00,Update bundle_zh_CN.properties,103.32305555555556
9582,closed,2024-02-22 03:25:21+00:00,2024-02-22 04:23:41+00:00,2024-02-22 04:23:41+00:00,Update servers_v7.json,0.9722222222222222
9581,closed,2024-02-22 02:42:28+00:00,2024-02-23 22:11:00+00:00,2024-02-23 22:11:00+00:00,Improve ArmorPlateAbility draw,43.47555555555556
9579,closed,2024-02-21 13:40:19+00:00,2024-02-21 15:07:47+00:00,2024-02-21 15:07:47+00:00,Update servers_v7.json,1.4577777777777778
9577,closed,2024-02-21 01:26:43+00:00,2024-02-28 18:33:59+00:00,2024-02-28 18:33:59+00:00,Update servers_v7.json,185.1211111111111
9576,closed,2024-02-20 17:23:19+00:00,2024-02-20 19:59:08+00:00,2024-02-20 19:59:08+00:00,Update servers_v7.json,2.5969444444444445
9568,closed,2024-02-17 19:44:08+00:00,2024-02-17 20:48:34+00:00,2024-02-17 20:48:34+00:00,Delegate more methods into Planet,1.073888888888889
9567,closed,2024-02-17 12:15:26+00:00,2024-02-17 14:04:17+00:00,2024-02-17 14:04:17+00:00,Update servers_v7.json,1.8141666666666667
9560,closed,2024-02-16 09:18:22+00:00,2024-03-31 03:24:24+00:00,2024-03-31 03:24:24+00:00,Translate & revert Vietnamese translation,1050.1005555555555
9559,closed,2024-02-16 09:01:06+00:00,2024-02-16 14:52:41+00:00,2024-02-16 14:52:41+00:00,Gammar & context fix,5.8597222222222225
9557,closed,2024-02-16 07:25:28+00:00,2024-02-16 14:52:31+00:00,2024-02-16 14:52:31+00:00,Make privileged SwitchBlock(World Switch) can't pickup,7.450833333333334
9553,closed,2024-02-14 12:41:19+00:00,2024-02-14 15:04:55+00:00,2024-02-14 15:04:55+00:00,Increase visibility of `makeRect()`,2.3933333333333335
9549,closed,2024-02-14 02:08:00+00:00,2024-02-14 04:17:41+00:00,2024-02-14 04:17:41+00:00,Fix mobile input message (TextInput::message),2.161388888888889
9547,closed,2024-02-13 20:22:28+00:00,2024-04-09 14:52:42+00:00,2024-04-09 14:52:42+00:00,Run applyColor before drawing unit parts,1338.503888888889
9545,closed,2024-02-13 18:31:37+00:00,2024-02-17 16:23:25+00:00,2024-02-17 16:23:25+00:00,Allow gasses to be coolants,93.86333333333333
9544,closed,2024-02-13 13:17:36+00:00,2024-03-01 16:12:13+00:00,2024-03-01 16:12:13+00:00,Update bundle_hu.properties,410.91027777777776
9543,closed,2024-02-13 05:59:56+00:00,2024-02-13 13:24:48+00:00,2024-02-13 13:24:48+00:00,Shfdkjhgkjdhskjgdfhjghjkdhfgjfh,7.414444444444444
9541,closed,2024-02-13 03:02:56+00:00,2024-02-13 04:32:30+00:00,2024-02-13 04:32:30+00:00,Layer options in DrawTurret,1.4927777777777778
9536,closed,2024-02-11 10:53:10+00:00,2024-02-11 13:52:14+00:00,2024-02-11 13:52:14+00:00,Update servers_v7.json,2.9844444444444442
9533,closed,2024-02-10 17:02:04+00:00,2024-02-10 18:07:04+00:00,2024-02-10 18:07:04+00:00,Update servers_v7.json,1.0833333333333333
9532,closed,2024-02-10 16:04:46+00:00,2024-02-10 16:39:47+00:00,2024-02-10 16:39:47+00:00,Update bundle_hu.properties,0.5836111111111111
9527,closed,2024-02-08 05:53:15+00:00,2024-02-08 15:09:42+00:00,2024-02-08 15:09:42+00:00,Update servers_v7.json,9.274166666666666
9523,closed,2024-02-06 14:34:57+00:00,2024-02-06 14:35:03+00:00,2024-02-06 14:35:03+00:00,"Revert ""Update servers_v7.json""",0.0016666666666666668
9518,closed,2024-02-04 22:22:51+00:00,2024-02-04 23:58:41+00:00,2024-02-04 23:58:41+00:00,Add RandomSound support to ContentParser,1.5972222222222223
9515,closed,2024-02-04 04:54:22+00:00,2024-02-04 06:08:38+00:00,2024-02-04 06:08:38+00:00,Update servers_v7.json,1.2377777777777779
9514,closed,2024-02-03 12:11:02+00:00,2024-02-03 17:17:17+00:00,2024-02-03 17:17:17+00:00,Marker fixes,5.104166666666667
9510,closed,2024-02-02 15:20:03+00:00,2024-02-02 15:52:28+00:00,2024-02-02 15:52:28+00:00,Add `bool Config::isDefault()`,0.5402777777777777
9507,closed,2024-02-01 03:38:49+00:00,2024-02-02 00:04:51+00:00,2024-02-02 00:04:51+00:00,Allow mods to add to logic effect map,20.433888888888887
9506,closed,2024-01-30 18:57:10+00:00,2024-01-31 00:35:39+00:00,2024-01-31 00:35:39+00:00,update markers,5.641388888888889
9505,closed,2024-01-30 17:37:06+00:00,2024-01-31 18:33:44+00:00,2024-01-31 18:33:44+00:00,"Moving some servers onto an edge node, deleting unused ips",24.94388888888889
9504,closed,2024-01-30 17:05:25+00:00,2024-01-30 18:05:50+00:00,2024-01-30 18:05:50+00:00,I want to delete some unused IPs and IPs that overlap with the eradic…,1.0069444444444444
9502,closed,2024-01-30 05:04:33+00:00,2024-01-30 15:45:38+00:00,2024-01-30 15:45:38+00:00,SoundEffect's sound should be delayed by its startDelay,10.684722222222222
9499,closed,2024-01-28 17:23:33+00:00,2024-01-28 18:04:21+00:00,2024-01-28 18:04:21+00:00,PartProgress.time & PartProgress.mod added,0.68
9496,closed,2024-01-27 15:02:17+00:00,2024-01-27 15:05:03+00:00,2024-01-27 15:05:03+00:00,Update servers_v7.json,0.04611111111111111
9494,closed,2024-01-27 09:02:02+00:00,2024-01-27 14:22:13+00:00,2024-01-27 14:22:13+00:00,Update servers_v7.json,5.336388888888889
9493,closed,2024-01-27 08:43:07+00:00,2024-01-27 14:22:28+00:00,2024-01-27 14:22:28+00:00,Allow mods to change dumpTime,5.655833333333334
9491,closed,2024-01-26 23:52:23+00:00,2024-01-27 00:08:15+00:00,2024-01-27 00:08:15+00:00,Dull no longer,0.2644444444444444
9486,closed,2024-01-24 17:49:53+00:00,2024-01-28 02:24:48+00:00,2024-01-28 02:24:48+00:00,Shield health should also be factored in pierce factor when `maxDamageFraction` is 0,80.58194444444445
9485,closed,2024-01-23 23:48:17+00:00,2024-01-24 03:05:14+00:00,2024-01-24 03:05:14+00:00,Allow markers to be deleted,3.2825
9484,closed,2024-01-23 05:15:08+00:00,2024-01-25 03:43:41+00:00,2024-01-25 03:43:41+00:00,Update servers_v7.json,46.475833333333334
9483,closed,2024-01-22 10:56:38+00:00,2024-01-22 13:38:33+00:00,2024-01-22 13:38:33+00:00,Mindurka IP change,2.698611111111111
9482,closed,2024-01-21 18:06:04+00:00,2024-01-21 18:20:14+00:00,2024-01-21 18:20:14+00:00,Update servers_v7.json,0.2361111111111111
9481,closed,2024-01-21 15:30:35+00:00,2024-01-21 15:35:14+00:00,2024-01-21 15:35:14+00:00,Update servers_v7.json,0.0775
9480,closed,2024-01-21 06:31:28+00:00,2024-01-21 15:35:26+00:00,2024-01-21 15:35:26+00:00,Update servers_v7.json,9.06611111111111
9479,closed,2024-01-20 14:34:13+00:00,2024-01-20 14:37:18+00:00,2024-01-20 14:37:18+00:00,Fix wait instruction inconsistency,0.05138888888888889
9475,closed,2024-01-19 13:08:16+00:00,2024-01-20 00:58:12+00:00,2024-01-20 00:58:12+00:00,Update servers_v7.json,11.832222222222223
9474,closed,2024-01-19 08:07:41+00:00,2024-01-20 00:57:41+00:00,2024-01-20 00:57:41+00:00,Update servers_v7.json,16.833333333333332
9473,closed,2024-01-19 04:41:45+00:00,2024-01-20 00:58:39+00:00,2024-01-20 00:58:39+00:00,Update servers_v7.json,20.281666666666666
9471,closed,2024-01-18 16:22:14+00:00,2024-01-20 00:58:57+00:00,2024-01-20 00:58:57+00:00,Add new pvp servers to Duel.server.,32.61194444444445
9470,closed,2024-01-18 14:36:15+00:00,2024-01-20 00:57:51+00:00,2024-01-20 00:57:51+00:00,Update servers_v7.json,34.36
9467,closed,2024-01-17 15:23:17+00:00,2024-01-31 21:12:50+00:00,2024-01-31 21:12:50+00:00,Minor fixes,341.8258333333333
9461,closed,2024-01-17 07:31:05+00:00,2024-01-20 17:13:41+00:00,2024-01-20 17:13:41+00:00,Indonesian localization for Steam game page,81.71
9457,closed,2024-01-16 14:15:36+00:00,2024-02-05 19:28:23+00:00,2024-02-05 19:28:23+00:00,Update bundle_hu.properties (ready to merge ... again),485.21305555555557
9456,closed,2024-01-15 17:33:26+00:00,2024-01-15 17:58:37+00:00,2024-01-15 17:58:37+00:00,Further Fixed #7310,0.4197222222222222
