sha,date,author,message,files_changed,files_commited,month
96477f7ff539ec1fd2749a34f03fc551ee5b92a4,2023-01-07 17:03:58+00:00,Anuken,Merge remote-tracking branch 'origin/master',19,"['README.md', 'android/build.gradle', 'annotations/src/main/java/mindustry/annotations/impl/StructProcess.java', 'core/assets/bundles/bundle_ja.properties', 'core/assets/bundles/bundle_ko.properties', 'core/src/mindustry/content/Blocks.java', 'core/src/mindustry/core/Control.java', 'core/src/mindustry/entities/comp/PayloadComp.java', 'core/src/mindustry/world/Block.java', 'core/src/mindustry/world/blocks/ConstructBlock.java', 'core/src/mindustry/world/blocks/distribution/DirectionalUnloader.java', 'core/src/mindustry/world/blocks/logic/LogicBlock.java', 'core/src/mindustry/world/blocks/payloads/BlockProducer.java', 'core/src/mindustry/world/blocks/payloads/PayloadConveyor.java', 'core/src/mindustry/world/blocks/production/BeamDrill.java', 'core/src/mindustry/world/blocks/storage/CoreBlock.java', 'core/src/mindustry/world/draw/DrawPistons.java', 'core/src/mindustry/world/meta/StatUnit.java', 'core/src/mindustry/world/meta/StatValues.java']",2023-01
4ec4e838233d71bc511f9dba1087a4e92ba67e23,2023-01-07 17:04:36+00:00,Anuken,Fixed #7932,1,['core/src/mindustry/service/GameService.java'],2023-01
0c9f2b268775d643054c2cd458665f637ac53b11,2023-01-07 17:06:57+00:00,Anuken,Fixed #8092,1,['core/src/mindustry/world/blocks/payloads/PayloadConveyor.java'],2023-01
98f869ecea2b5113af02cf69972d59bf3be104d8,2023-01-07 17:15:37+00:00,Anuken,Fixed #8086 / Fixed #8065,2,"['core/src/mindustry/entities/bullet/BulletType.java', 'core/src/mindustry/logic/LStatements.java']",2023-01
b4137dca6e205b9971960c882cb24acc570e1ede,2023-01-07 17:37:37+00:00,Anuken,Fixed #7978,1,['core/src/mindustry/world/blocks/power/BeamNode.java'],2023-01
49bcbafdaa8eb4b83ef6a619f1b29e93cc3722a9,2023-01-07 17:39:12+00:00,Anuken,Fixed #7946,1,['core/src/mindustry/ui/fragments/HintsFragment.java'],2023-01
54a9955e30164ffa3e829be76c57b9f004f3ae1d,2023-01-07 17:44:29+00:00,Anuken,#8126,1,['core/src/mindustry/net/ArcNetProvider.java'],2023-01
ba72e9c50d272278de025cf2178d6d8854835bd0,2023-01-07 17:54:26+00:00,Garen7,"Fixes Tanks rotating needlessly after attack commands (#8112)

Co-authored-by: Garen7 <Garen7@users.noreply.github.com>",1,['core/src/mindustry/entities/units/AIController.java'],2023-01
eb0481a1da06ba0fa231a2b2e1418e32b810f27f,2023-01-07 17:55:19+00:00,MEEPofFaith,Cargo units *will* chase you down if you pick up their target. (#8033),1,['core/src/mindustry/ai/types/CargoAI.java'],2023-01
246591eab43da370c38af0107dc71e352c201d4f,2023-01-07 18:15:56+00:00,Anuken,Fixed #8119,4,"['core/assets/bundles/bundle.properties', 'core/src/mindustry/maps/planet/SerpuloPlanetGenerator.java', 'core/src/mindustry/net/ArcNetProvider.java', 'core/src/mindustry/ui/dialogs/LoadDialog.java']",2023-01
c37ad9210ac3535b8626b80d11fe9d977932544c,2023-01-07 18:15:59+00:00,Anuken,Merge remote-tracking branch 'origin/master',2,"['core/src/mindustry/ai/types/CargoAI.java', 'core/src/mindustry/entities/units/AIController.java']",2023-01
78973d3f12b0e5f7fe06848d4e37a79dbc431328,2023-01-07 18:17:21+00:00,unknown,Automatic bundle update,34,"['core/assets/bundles/bundle_be.properties', 'core/assets/bundles/bundle_bg.properties', 'core/assets/bundles/bundle_ca.properties', 'core/assets/bundles/bundle_cs.properties', 'core/assets/bundles/bundle_da.properties', 'core/assets/bundles/bundle_de.properties', 'core/assets/bundles/bundle_es.properties', 'core/assets/bundles/bundle_et.properties', 'core/assets/bundles/bundle_eu.properties', 'core/assets/bundles/bundle_fi.properties', 'core/assets/bundles/bundle_fil.properties', 'core/assets/bundles/bundle_fr.properties', 'core/assets/bundles/bundle_hu.properties', 'core/assets/bundles/bundle_id_ID.properties', 'core/assets/bundles/bundle_it.properties', 'core/assets/bundles/bundle_ja.properties', 'core/assets/bundles/bundle_ko.properties', 'core/assets/bundles/bundle_lt.properties', 'core/assets/bundles/bundle_nl.properties', 'core/assets/bundles/bundle_nl_BE.properties', 'core/assets/bundles/bundle_pl.properties', 'core/assets/bundles/bundle_pt_BR.properties', 'core/assets/bundles/bundle_pt_PT.properties', 'core/assets/bundles/bundle_ro.properties', 'core/assets/bundles/bundle_ru.properties', 'core/assets/bundles/bundle_sr.properties', 'core/assets/bundles/bundle_sv.properties', 'core/assets/bundles/bundle_th.properties', 'core/assets/bundles/bundle_tk.properties', 'core/assets/bundles/bundle_tr.properties', 'core/assets/bundles/bundle_uk_UA.properties', 'core/assets/bundles/bundle_vi.properties', 'core/assets/bundles/bundle_zh_CN.properties', 'core/assets/bundles/bundle_zh_TW.properties']",2023-01
d3a90d68d13d2c916e458d2ac6574b2f43414333,2023-01-07 18:22:58+00:00,phinner,"Update bundle_fr.properties (reopen of  #7883) (#7918)

* pull #7883

* add new translations

* add these fine gentlemen to the contributors

* bateau -> vaisseau

* forgor again :skull:",2,"['core/assets/bundles/bundle_fr.properties', 'core/assets/contributors']",2023-01
4e51586b3bfdba7ed9f6fb5a7fca67515678f7fd,2023-01-07 18:23:43+00:00,unknown,Automatic bundle update,1,['core/assets/bundles/bundle_fr.properties'],2023-01
a15b887e5c8d3210158a07764b653c8a97520c82,2023-01-07 18:42:43+00:00,Anuken,Fixed #8011,1,['core/src/mindustry/input/Placement.java'],2023-01
e8460849427c20f739e987374174b599516550ae,2023-01-07 18:42:48+00:00,Anuken,Merge remote-tracking branch 'origin/master',35,"['core/assets/bundles/bundle_be.properties', 'core/assets/bundles/bundle_bg.properties', 'core/assets/bundles/bundle_ca.properties', 'core/assets/bundles/bundle_cs.properties', 'core/assets/bundles/bundle_da.properties', 'core/assets/bundles/bundle_de.properties', 'core/assets/bundles/bundle_es.properties', 'core/assets/bundles/bundle_et.properties', 'core/assets/bundles/bundle_eu.properties', 'core/assets/bundles/bundle_fi.properties', 'core/assets/bundles/bundle_fil.properties', 'core/assets/bundles/bundle_fr.properties', 'core/assets/bundles/bundle_hu.properties', 'core/assets/bundles/bundle_id_ID.properties', 'core/assets/bundles/bundle_it.properties', 'core/assets/bundles/bundle_ja.properties', 'core/assets/bundles/bundle_ko.properties', 'core/assets/bundles/bundle_lt.properties', 'core/assets/bundles/bundle_nl.properties', 'core/assets/bundles/bundle_nl_BE.properties', 'core/assets/bundles/bundle_pl.properties', 'core/assets/bundles/bundle_pt_BR.properties', 'core/assets/bundles/bundle_pt_PT.properties', 'core/assets/bundles/bundle_ro.properties', 'core/assets/bundles/bundle_ru.properties', 'core/assets/bundles/bundle_sr.properties', 'core/assets/bundles/bundle_sv.properties', 'core/assets/bundles/bundle_th.properties', 'core/assets/bundles/bundle_tk.properties', 'core/assets/bundles/bundle_tr.properties', 'core/assets/bundles/bundle_uk_UA.properties', 'core/assets/bundles/bundle_vi.properties', 'core/assets/bundles/bundle_zh_CN.properties', 'core/assets/bundles/bundle_zh_TW.properties', 'core/assets/contributors']",2023-01
d7d5ba751094919b4fd1987799bcbfe6c41d5c56,2023-01-07 18:44:34+00:00,Anuken,Fixed #8060,1,['core/src/mindustry/core/Logic.java'],2023-01
93f630bb6917450d2a59b10b0f5df52f784fab18,2023-01-07 18:48:28+00:00,GlennFolker,"Make custom Env flag reliably possible (#8019)

* Make custom Env flag reliably possible

* screw you

* ""compatibility"" for mods that don't use add()",3,"['core/src/mindustry/io/JsonIO.java', 'core/src/mindustry/world/meta/Env.java', 'tests/src/test/java/ApplicationTests.java']",2023-01
ae4a41cd0b3bb6a39504ff49f36ed3f2529270c5,2023-01-07 18:53:03+00:00,Anuken,Fixed #8042,1,['core/src/mindustry/core/World.java'],2023-01
0b00747f290629e069c53cd12b279f56736a47f4,2023-01-07 18:53:07+00:00,Anuken,Merge remote-tracking branch 'origin/master',3,"['core/src/mindustry/io/JsonIO.java', 'core/src/mindustry/world/meta/Env.java', 'tests/src/test/java/ApplicationTests.java']",2023-01
fe99c7da624270d45fb654c2eaf6fcab5c02bb6d,2023-01-07 19:00:32+00:00,Slotterleet,Update bundle_ru.properties (#7973),1,['core/assets/bundles/bundle_ru.properties'],2023-01
2a71f4620e96c5d083fa7c3c09405ce190b74d8d,2023-01-07 19:01:28+00:00,Anuken,Fixed #7962,2,"['core/src/mindustry/mod/Mods.java', 'ios/src/mindustry/ios/IOSLauncher.java']",2023-01
d8ecdff698dc9f59da8450b85a40263312518ac1,2023-01-07 19:01:33+00:00,Anuken,Merge remote-tracking branch 'origin/master',1,['core/assets/bundles/bundle_ru.properties'],2023-01
1394c49e48653961ace07fe7933e9f481d5e0f66,2023-01-07 19:10:41+00:00,Anuken,Fixed #8008,1,['core/src/mindustry/maps/filters/NoiseFilter.java'],2023-01
723b10af576a861e3dedf8f8cc269137eeaacc58,2023-01-07 19:18:07+00:00,Anuken,Fixed #7944,2,"['core/src/mindustry/core/World.java', 'core/src/mindustry/maps/filters/NoiseFilter.java']",2023-01
542bf2b413b7511a2707c72c72298c1c9f0a34e6,2023-01-07 19:26:25+00:00,Anuken,Fixed #8084,2,"['core/src/mindustry/entities/comp/BuildingComp.java', 'core/src/mindustry/world/blocks/heat/HeatConductor.java']",2023-01
eb410af371625b218825c74114ec5064265738be,2023-01-07 19:41:12+00:00,Anuken,sandbox is now actually sandbox again,1,['core/src/mindustry/io/JsonIO.java'],2023-01
574a10e5f81f2f7e8005aa8b88ee419ccda5cd04,2023-01-07 19:42:27+00:00,Prosta4okua,"🍉🍉🍉 Watermelons have deployed. Prepare yourself for new Ukrainian translation for v7 release (#7885)

* hehe

* Finished translation. Need to proofread. Added 2 missing entries.

* Fixes

* Fixes #2

* Added button Random to translations and fixed error

* Fixes from @1stvaliduser

* fixes

* fixes

* будівль -> будівель",4,"['core/assets/bundles/bundle.properties', 'core/assets/bundles/bundle_uk_UA.properties', 'core/src/mindustry/editor/WaveInfoDialog.java', 'core/src/mindustry/ui/fragments/PlacementFragment.java']",2023-01
cf392d13ed535a013990ba8167326092c021227d,2023-01-07 19:43:14+00:00,unknown,Automatic bundle update,34,"['core/assets/bundles/bundle_be.properties', 'core/assets/bundles/bundle_bg.properties', 'core/assets/bundles/bundle_ca.properties', 'core/assets/bundles/bundle_cs.properties', 'core/assets/bundles/bundle_da.properties', 'core/assets/bundles/bundle_de.properties', 'core/assets/bundles/bundle_es.properties', 'core/assets/bundles/bundle_et.properties', 'core/assets/bundles/bundle_eu.properties', 'core/assets/bundles/bundle_fi.properties', 'core/assets/bundles/bundle_fil.properties', 'core/assets/bundles/bundle_fr.properties', 'core/assets/bundles/bundle_hu.properties', 'core/assets/bundles/bundle_id_ID.properties', 'core/assets/bundles/bundle_it.properties', 'core/assets/bundles/bundle_ja.properties', 'core/assets/bundles/bundle_ko.properties', 'core/assets/bundles/bundle_lt.properties', 'core/assets/bundles/bundle_nl.properties', 'core/assets/bundles/bundle_nl_BE.properties', 'core/assets/bundles/bundle_pl.properties', 'core/assets/bundles/bundle_pt_BR.properties', 'core/assets/bundles/bundle_pt_PT.properties', 'core/assets/bundles/bundle_ro.properties', 'core/assets/bundles/bundle_ru.properties', 'core/assets/bundles/bundle_sr.properties', 'core/assets/bundles/bundle_sv.properties', 'core/assets/bundles/bundle_th.properties', 'core/assets/bundles/bundle_tk.properties', 'core/assets/bundles/bundle_tr.properties', 'core/assets/bundles/bundle_uk_UA.properties', 'core/assets/bundles/bundle_vi.properties', 'core/assets/bundles/bundle_zh_CN.properties', 'core/assets/bundles/bundle_zh_TW.properties']",2023-01
a3270debacfd812a3258605486bdcd673f6ac4d7,2023-01-07 19:46:19+00:00,MEEPofFaith,Fix collideLine (#8037),1,['core/src/mindustry/entities/Damage.java'],2023-01
05dec4df6a634a5dbdcc65383252e5ca68fe91e0,2023-01-07 19:46:31+00:00,Anuken,Fixed #8117,1,['core/src/mindustry/entities/comp/PuddleComp.java'],2023-01
87786441fff46ecd371e424173aff6855c448c61,2023-01-07 19:47:10+00:00,Anuken,Fixed #8117,1,['core/src/mindustry/entities/comp/PuddleComp.java'],2023-01
963b96a1fb932f2d62f38a7b625259acb0619b15,2023-01-07 19:47:14+00:00,Anuken,Merge remote-tracking branch 'origin/master',38,"['core/assets/bundles/bundle.properties', 'core/assets/bundles/bundle_be.properties', 'core/assets/bundles/bundle_bg.properties', 'core/assets/bundles/bundle_ca.properties', 'core/assets/bundles/bundle_cs.properties', 'core/assets/bundles/bundle_da.properties', 'core/assets/bundles/bundle_de.properties', 'core/assets/bundles/bundle_es.properties', 'core/assets/bundles/bundle_et.properties', 'core/assets/bundles/bundle_eu.properties', 'core/assets/bundles/bundle_fi.properties', 'core/assets/bundles/bundle_fil.properties', 'core/assets/bundles/bundle_fr.properties', 'core/assets/bundles/bundle_hu.properties', 'core/assets/bundles/bundle_id_ID.properties', 'core/assets/bundles/bundle_it.properties', 'core/assets/bundles/bundle_ja.properties', 'core/assets/bundles/bundle_ko.properties', 'core/assets/bundles/bundle_lt.properties', 'core/assets/bundles/bundle_nl.properties', 'core/assets/bundles/bundle_nl_BE.properties', 'core/assets/bundles/bundle_pl.properties', 'core/assets/bundles/bundle_pt_BR.properties', 'core/assets/bundles/bundle_pt_PT.properties', 'core/assets/bundles/bundle_ro.properties', 'core/assets/bundles/bundle_ru.properties', 'core/assets/bundles/bundle_sr.properties', 'core/assets/bundles/bundle_sv.properties', 'core/assets/bundles/bundle_th.properties', 'core/assets/bundles/bundle_tk.properties', 'core/assets/bundles/bundle_tr.properties', 'core/assets/bundles/bundle_uk_UA.properties', 'core/assets/bundles/bundle_vi.properties', 'core/assets/bundles/bundle_zh_CN.properties', 'core/assets/bundles/bundle_zh_TW.properties', 'core/src/mindustry/editor/WaveInfoDialog.java', 'core/src/mindustry/entities/Damage.java', 'core/src/mindustry/ui/fragments/PlacementFragment.java']",2023-01
f1e1eb1015914cb58c4e0eb707d7dbe2bf48ce5a,2023-01-07 19:54:15+00:00,Anuken,Fixed #8015,1,['core/src/mindustry/world/blocks/distribution/ItemBridge.java'],2023-01
700e4564a87f6eb0490156cce91c82ca86ccd669,2023-01-07 19:54:34+00:00,phinner,"Update Xpdustry V7 servers (#7977)

* update servers

* more...

* Add lobby server",3,"['servers_be.json', 'servers_v6.json', 'servers_v7.json']",2023-01
4c09f6dd403d704fd695e24c42ef59d69bb2f291,2023-01-07 20:07:40+00:00,Anuken,Fixed #8025,1,['core/src/mindustry/logic/LCanvas.java'],2023-01
56ed932716d7d508c724a9b51b19578b048db497,2023-01-07 20:07:57+00:00,Anuken,Merge remote-tracking branch 'origin/master',3,"['servers_be.json', 'servers_v6.json', 'servers_v7.json']",2023-01
bebc8f0342085da6a3c470dd54488bb99e15d144,2023-01-07 20:20:11+00:00,L0615T1C5-216AC-9437,Remove ports from cn (#8002),1,['servers_v6.json'],2023-01
b3d014cd9f4663bcda2f1670af7a61a62ac003eb,2023-01-07 20:20:26+00:00,L0615T1C5-216AC-9437,"Add more ports to cn (#8003)

* Add more ports to cn

* Update servers_v7.json",1,['servers_v7.json'],2023-01
019ffe4c5c66865dee7e2746736844644820c9a7,2023-01-07 20:29:51+00:00,Xasmedy,Added the mindustry.ddns.net HUB. (#7911),1,['servers_v7.json'],2023-01
c78adb12aaa0a47d08d67babc28f423a73b0aa53,2023-01-07 20:30:51+00:00,DikHalz,"add new server, servers_v7,json (#8106)

* add new server, servers_v7,json

* Update servers_v7.json

* Update servers_v7.json

* Update servers_v7.json

Co-authored-by: DHz06 <87813567+DHz06@users.noreply.github.com>",1,['servers_v7.json'],2023-01
832b5e62bf6dfd6cb74d1f08141bdb9d8be8a47e,2023-01-07 21:14:04+00:00,Garen7,"Fixes typo on Payload Mass Drivers (#8090)

Co-authored-by: Garen7 <Garen7@users.noreply.github.com>",1,['core/src/mindustry/world/blocks/payloads/PayloadMassDriver.java'],2023-01
51b93205ff3fa5df8c0043922a210345b895ebae,2023-01-07 21:16:34+00:00,MaxSMokeSkaarj,"SMoA come back (#8064)

* SMoA come back

* leave from v6

* Fix",2,"['servers_v6.json', 'servers_v7.json']",2023-01
a4b1d2ca510f5c18de956d8532e8d017623f9a30,2023-01-07 21:20:18+00:00,Xenerain,Update servers_v7.json (#8127),1,['servers_v7.json'],2023-01
76430c1e682d6d45a4abd0bc6e5c225d758af924,2023-01-07 21:21:03+00:00,Anuken,a,2,"['core/src/mindustry/world/blocks/payloads/PayloadConveyor.java', 'gradle.properties']",2023-01
be8fec55e1a33307068bc2c2b95c2696d22f75f1,2023-01-07 21:22:06+00:00,Anuken,Merge branch 'master' of https://github.com/Anuken/Mindustry,3,"['core/src/mindustry/world/blocks/payloads/PayloadMassDriver.java', 'servers_v6.json', 'servers_v7.json']",2023-01
6ef21f65b253d1f0d8c2d3fab391e58bb1dbc976,2023-01-07 21:22:55+00:00,VaporSpace2,"updates to GMS server network (#8059)

adding the new ""Generic PvP server"" to v7 server list, renamed server network to ""generic mindustry""",1,['servers_v7.json'],2023-01
2f0de58d00a25af227be1a6b92d0ae30abfbaa0a,2023-01-07 23:40:41+00:00,TheTrueInfinity,Update servers_v7.json (#8118),1,['servers_v7.json'],2023-01
85229f15c403fcb6b0f37352cdaf51596cddb217,2023-01-07 23:49:20+00:00,MrS-1302,"Update servers_v6.json (#8082)

Server upgrade to V7

Co-authored-by: Anuken <arnukren@gmail.com>",1,['servers_v6.json'],2023-01
62e33effd1331eb17fd5730657997e2230a276f7,2023-01-08 00:34:36+00:00,Anuken,CargoAI target clearing,1,['core/src/mindustry/ai/types/CargoAI.java'],2023-01
2c2d561ea6037f024a0bec055bea1fad23e313db,2023-01-08 00:34:40+00:00,Anuken,Merge remote-tracking branch 'origin/master',2,"['servers_v6.json', 'servers_v7.json']",2023-01
7cce9fad553d637067d4497aae866c761dcbeb1f,2023-01-08 02:44:56+00:00,MrS-1302,"Update servers_v7.json (#8128)

Server upgrade to V7",1,['servers_v7.json'],2023-01
23d3c2dfe782a97302bd8149d4fe668bacb04d50,2023-01-08 03:58:42+00:00,xem8k5,Update servers_v7.json (#8129),1,['servers_v7.json'],2023-01
33f6004c816e4f0d8f88b2bb40e0111354fabca1,2023-01-08 04:34:18+00:00,adamlolgaming,Update bundle_pl.properties (#8057),1,['core/assets/bundles/bundle_pl.properties'],2023-01
021173252029abbc2d18a8a31a6d447969685f2e,2023-01-08 04:38:12+00:00,Miniontoby,"Fixed sand-floor translation in Dutch (#8058)

Changed from 'Donker Zand' which means 'dark sand' to 'Zand' which is just 'sand'",1,['core/assets/bundles/bundle_nl.properties'],2023-01
50cc281e24dc39de1c72114efcb7415d2ff3fc76,2023-01-08 04:38:26+00:00,MWestfall,"Update servers_v6.json (#7990)

Remove ECAN from v6",1,['servers_v6.json'],2023-01
b9c85fcaf27f866a35a42db94c76543afa84244a,2023-01-08 04:40:42+00:00,MWestfall,"Update servers_v7.json (#7989)

Add ECAN to v7",1,['servers_v7.json'],2023-01
13bca1b7bd6997c6b9c0de175398a1659d583fd6,2023-01-08 04:41:28+00:00,Volas171,"Update servers_v7.json (#8074)

* Update servers_v7.json

* little space",1,['servers_v7.json'],2023-01
36513c709df8216000e99305380ab1b9996315fb,2023-01-08 04:42:16+00:00,Somka000,"Add server to list (#8009)

Co-authored-by: Anuken <arnukren@gmail.com>",1,['servers_v7.json'],2023-01
5b3531955927d826dba67d69e772b86e6313234f,2023-01-08 04:42:28+00:00,Somka000,"Add server to list (#8009)

Co-authored-by: Anuken <arnukren@gmail.com>",0,[],2023-01
e6bfc1cee82e5a36f1bf341521860bf1d35cfc29,2023-01-08 05:15:55+00:00,Khanx,Updated spanish translation (#7928),1,['core/assets/bundles/bundle_es.properties'],2023-01
e2fa834079d6001de02cc3d3a1ddf7aad01982e7,2023-01-08 05:16:58+00:00,Anuken,Merge of #7987,1,['core/assets/bundles/bundle_es.properties'],2023-01
d08296316741f1b3885d0c4839ea750f12d7dd7c,2023-01-08 05:17:52+00:00,Anuken,"Merge remote-tracking branch 'origin/master'

# Conflicts:
#	core/assets/bundles/bundle_es.properties",4,"['core/assets/bundles/bundle_nl.properties', 'core/assets/bundles/bundle_pl.properties', 'servers_v6.json', 'servers_v7.json']",2023-01
