number,state,created_at,merged_at,closed_at,title
9830,closed,2024-05-09 13:33:24+00:00,,2024-05-09 17:24:01+00:00,update servers_v7.json
9829,closed,2024-05-09 09:48:20+00:00,2024-05-09 13:13:39+00:00,2024-05-09 13:13:39+00:00,update servers_v7.json
9827,closed,2024-05-08 14:06:39+00:00,,2024-05-09 06:11:13+00:00,"temporary isp downtime in uk, need rush to be online asap"
9825,closed,2024-05-08 12:46:43+00:00,2024-05-08 14:00:05+00:00,2024-05-08 14:00:05+00:00,update servers_v7.json
9822,open,2024-05-07 19:56:57+00:00,,,sprites
9818,open,2024-05-07 07:21:01+00:00,,,load modded default payload in/out
9817,open,2024-05-06 12:28:51+00:00,,,update bundle_zh_tw.properties
9816,open,2024-05-06 12:28:28+00:00,,,update bundle_zh_tw.properties
9815,open,2024-05-06 12:27:44+00:00,,,update bundle_zh_tw.properties
9814,closed,2024-05-05 16:38:07+00:00,2024-05-05 17:49:57+00:00,2024-05-05 17:49:58+00:00,update servers_v7.json
9810,closed,2024-05-04 15:27:09+00:00,2024-05-04 15:29:38+00:00,2024-05-04 15:29:39+00:00,update servers_v7.json - add tsr custom server
9809,closed,2024-05-04 13:29:12+00:00,2024-05-04 13:42:29+00:00,2024-05-04 13:42:29+00:00,update servers_v7.json
9808,closed,2024-05-04 12:35:26+00:00,2024-05-04 13:18:59+00:00,2024-05-04 13:18:59+00:00,tallblock layering support as it apparently intended to be
9807,closed,2024-05-04 06:32:35+00:00,2024-05-04 13:21:44+00:00,2024-05-04 13:21:44+00:00,update bundle_hu.properties
9803,open,2024-05-03 02:22:30+00:00,,,update ukrainian (uk_ua) translation
9802,closed,2024-05-02 13:56:34+00:00,2024-05-02 19:56:10+00:00,2024-05-02 19:56:10+00:00,updated the core landing sound and added a launch sound
9801,closed,2024-05-02 10:58:10+00:00,2024-05-02 13:41:59+00:00,2024-05-02 13:41:59+00:00, call onremoved() in statuseffect.java when an effect is removed
9800,closed,2024-05-02 09:49:44+00:00,,2024-05-04 13:28:11+00:00,update servers_v7.json
9798,closed,2024-04-30 12:05:22+00:00,2024-04-30 13:43:53+00:00,2024-04-30 13:43:53+00:00,update servers_v7.json
9796,closed,2024-04-29 19:07:54+00:00,2024-04-29 20:48:54+00:00,2024-04-29 20:48:54+00:00,update servers_v7.json
9794,closed,2024-04-29 05:17:22+00:00,2024-04-29 10:18:23+00:00,2024-04-29 10:18:23+00:00,update servers_v7.json
9792,open,2024-04-28 16:51:34+00:00,,,rules dialog changes
9790,closed,2024-04-28 07:21:10+00:00,,2024-04-28 12:46:51+00:00,allow units to mine coal and sand
9789,closed,2024-04-28 01:45:25+00:00,2024-04-28 01:52:05+00:00,2024-04-28 01:52:05+00:00,update servers_v7
9786,closed,2024-04-27 09:20:37+00:00,2024-04-27 22:42:01+00:00,2024-04-27 22:42:01+00:00,update bundle_hu.properties
9785,closed,2024-04-26 21:56:08+00:00,,2024-04-26 23:23:19+00:00,switch order of literals to prevent nullpointerexception
9783,closed,2024-04-26 12:36:30+00:00,2024-04-26 14:15:39+00:00,2024-04-26 14:15:39+00:00,update servers_v7.json
9780,closed,2024-04-25 03:09:58+00:00,,2024-04-25 03:41:32+00:00,display maximum number of rounds (or shots) in info
9778,closed,2024-04-24 20:03:04+00:00,2024-04-28 13:53:18+00:00,2024-04-28 13:53:18+00:00,enhance json mod content load order
9777,closed,2024-04-24 18:14:31+00:00,2024-05-03 18:11:23+00:00,2024-05-03 18:11:23+00:00,add turret ammo capacity to the in-game help
9776,closed,2024-04-24 15:00:07+00:00,2024-04-24 16:50:27+00:00,2024-04-24 16:50:27+00:00,eradication mindustry finally getting stable uk nodes
9775,closed,2024-04-23 22:51:22+00:00,,2024-04-23 22:54:20+00:00,update servers_v7.json
9774,closed,2024-04-23 16:01:52+00:00,2024-04-23 23:20:26+00:00,2024-04-23 23:20:26+00:00,update servers_v7.json
9773,closed,2024-04-23 12:43:25+00:00,2024-06-01 13:32:57+00:00,2024-06-01 13:32:57+00:00,update korean translations
9772,closed,2024-04-23 06:00:27+00:00,2024-04-23 13:19:40+00:00,2024-04-23 13:19:40+00:00,update servers_v7.json
9766,closed,2024-04-21 18:06:32+00:00,2024-06-01 13:33:17+00:00,2024-06-01 13:33:17+00:00,update bundle_es.properties
9764,closed,2024-04-21 11:41:28+00:00,,2024-04-21 14:27:50+00:00,better light blending
9757,closed,2024-04-20 09:07:05+00:00,,2024-04-20 11:28:33+00:00,allow modders to customize vanilla ais..?
9756,closed,2024-04-19 09:55:38+00:00,2024-04-21 15:02:04+00:00,2024-04-21 15:02:04+00:00,update bundle_es.properties
9755,closed,2024-04-19 05:20:17+00:00,2024-04-19 13:40:47+00:00,2024-04-19 13:40:47+00:00,disable leg and crush damage on disarmed units
9754,closed,2024-04-18 19:13:41+00:00,,2024-04-24 16:39:32+00:00,implementing mindustry-suggestions#4959
9753,closed,2024-04-18 05:07:46+00:00,2024-04-18 13:17:14+00:00,2024-04-18 13:17:14+00:00,update servers_v7.json
9752,open,2024-04-16 18:39:04+00:00,,,unmet dependencies dialog + auto-import dependencies
9751,closed,2024-04-16 06:25:05+00:00,,2024-04-20 07:30:45+00:00,fixed some issues when construct a rotated block with missing region or awful rotation
9749,closed,2024-04-15 12:27:52+00:00,2024-04-15 13:03:59+00:00,2024-04-15 13:03:59+00:00,added offset fields to drawflame
9748,closed,2024-04-14 17:16:33+00:00,2024-04-14 17:35:36+00:00,2024-04-14 17:35:36+00:00,update servers_v7.json
9744,closed,2024-04-14 09:56:50+00:00,2024-04-14 14:06:13+00:00,2024-04-14 14:06:13+00:00,completely checked and transtaled vietnamese
9743,closed,2024-04-13 13:27:11+00:00,2024-04-13 14:00:15+00:00,2024-04-13 14:00:15+00:00,update servers_v7.json - add tsr pvp and tsr anarchy
9741,closed,2024-04-13 06:46:00+00:00,2024-04-13 13:21:42+00:00,2024-04-13 13:21:42+00:00,add more ip for abcxyz server
9738,open,2024-04-12 19:30:46+00:00,,,relative quad marker vertices position
9737,closed,2024-04-12 13:58:38+00:00,,2024-04-13 12:37:08+00:00,add unitcommandevent
9736,open,2024-04-12 13:58:10+00:00,,,play sound instruction for world logic
9734,closed,2024-04-12 13:22:32+00:00,2024-04-12 13:33:48+00:00,2024-04-12 13:33:48+00:00,i want to bring back the abcxyz server
9733,open,2024-04-12 10:57:42+00:00,,,allow markers to be used as light sources
9729,closed,2024-04-08 23:21:44+00:00,2024-04-08 23:51:50+00:00,2024-04-08 23:51:50+00:00,add shapemarker starting and ending angles
9723,closed,2024-04-08 02:13:50+00:00,2024-04-09 15:16:49+00:00,2024-04-09 15:16:49+00:00,#9706 done smarter
9721,closed,2024-04-07 18:04:08+00:00,2024-04-07 18:15:49+00:00,2024-04-07 18:15:49+00:00,update servers_v7.json
9718,open,2024-04-07 03:00:53+00:00,,,update servers_v7.json (recomit)
9717,open,2024-04-07 02:12:06+00:00,,,add `server favourite`
9716,closed,2024-04-07 01:02:35+00:00,,2024-04-07 02:59:22+00:00,update servers_v7.json (vndustry is comeback?)
9715,closed,2024-04-06 21:06:32+00:00,2024-04-07 02:15:24+00:00,2024-04-07 02:15:24+00:00,host massmurder
9712,closed,2024-04-06 11:33:37+00:00,2024-04-06 13:50:08+00:00,2024-04-06 13:50:08+00:00,update servers_v7.json
9711,closed,2024-04-05 12:40:51+00:00,2024-04-05 12:52:59+00:00,2024-04-05 12:52:59+00:00,update servers_v7.json
9710,closed,2024-04-05 12:07:59+00:00,2024-04-18 18:35:09+00:00,2024-04-18 18:35:09+00:00,update bundle_hu.properties
9706,closed,2024-04-04 02:20:05+00:00,2024-04-06 13:52:39+00:00,2024-04-06 13:52:39+00:00,make childcomp work with turrets
9705,open,2024-04-03 11:19:35+00:00,,,para buffs
9704,closed,2024-04-02 22:27:22+00:00,2024-04-02 22:52:02+00:00,2024-04-02 22:52:02+00:00,update servers_v7.json
9703,closed,2024-04-02 09:50:45+00:00,2024-04-02 14:03:15+00:00,2024-04-02 14:03:15+00:00,"fetching unit by type, build without type, and fixing a nullpointer crash"
9702,closed,2024-04-02 02:54:18+00:00,,2024-04-02 03:04:30+00:00,code smells detected and refactored
9701,closed,2024-04-01 19:09:41+00:00,,2024-04-06 16:37:29+00:00,wex balancing
9700,closed,2024-04-01 10:24:06+00:00,2024-04-01 14:48:36+00:00,2024-04-01 14:48:36+00:00,update servers_v7.json
9699,closed,2024-03-31 21:52:04+00:00,2024-04-06 13:50:19+00:00,2024-04-06 13:50:19+00:00,update servers_v7.json
9698,closed,2024-03-31 20:38:49+00:00,2024-03-31 21:52:52+00:00,2024-03-31 21:52:52+00:00,update servers_v7.json
9697,closed,2024-03-31 20:29:08+00:00,2024-03-31 21:53:22+00:00,2024-03-31 21:53:22+00:00,update servers_v7.json
9696,closed,2024-03-31 19:52:06+00:00,2024-03-31 20:16:59+00:00,2024-03-31 20:16:59+00:00,fix pause toggling
9694,closed,2024-03-31 18:36:09+00:00,2024-04-02 14:06:23+00:00,2024-04-02 14:06:23+00:00,update hungarian translation
9693,closed,2024-03-31 14:24:16+00:00,2024-04-01 14:46:44+00:00,2024-04-01 14:46:44+00:00,enable full customization of core launching/landing animations.
9692,open,2024-03-31 11:05:56+00:00,,,data imported exit message
9691,closed,2024-03-31 10:07:31+00:00,,2024-04-06 01:00:45+00:00,fix snow weather name not match with bundle
9690,closed,2024-03-31 08:22:58+00:00,2024-04-01 14:30:14+00:00,2024-04-01 14:30:14+00:00,update bundle_zh_cn.properties(ready to merge)
9689,closed,2024-03-31 04:36:54+00:00,,2024-04-01 07:06:35+00:00,update servers_v7.json
9688,closed,2024-03-31 02:19:46+00:00,2024-03-31 02:29:39+00:00,2024-03-31 02:29:39+00:00,add the gradle wrapper validation action
9685,closed,2024-03-29 16:50:18+00:00,2024-03-29 18:58:57+00:00,2024-03-29 18:58:57+00:00,update servers_v7.json -  add tsr survival and tsr attack
9684,closed,2024-03-29 04:23:55+00:00,2024-03-29 19:01:59+00:00,2024-03-29 19:01:59+00:00,piercefragcap
9683,closed,2024-03-28 05:46:02+00:00,2024-03-29 18:58:50+00:00,2024-03-29 18:58:50+00:00,update servers_v7.json
9682,closed,2024-03-27 23:05:15+00:00,2024-03-29 19:02:46+00:00,2024-03-29 19:02:46+00:00,uk nodes switching internet for higher stability and lower ping
9680,closed,2024-03-26 18:06:04+00:00,2024-03-29 18:58:44+00:00,2024-03-29 18:58:44+00:00,update servers_v7.json
9678,closed,2024-03-26 03:11:11+00:00,,2024-04-17 14:02:18+00:00,"trail, pierce and weave delaying"
9676,closed,2024-03-25 22:39:04+00:00,2024-03-25 23:20:26+00:00,2024-03-25 23:20:26+00:00,dfsfsdfdsdfsdsdfdsfdsdds
9675,closed,2024-03-25 20:04:39+00:00,2024-03-29 19:02:34+00:00,2024-03-29 19:02:34+00:00,update hungarian translation
9674,closed,2024-03-25 17:43:53+00:00,2024-03-25 18:11:30+00:00,2024-03-25 18:11:30+00:00,update servers_v7.json
9672,closed,2024-03-24 22:08:10+00:00,2024-03-25 20:41:56+00:00,2024-03-25 20:41:56+00:00,add tsr sandbox to v7 serverlist
9671,closed,2024-03-24 18:10:50+00:00,2024-03-24 19:03:08+00:00,2024-03-24 19:03:08+00:00,update servers_v7.json
9669,closed,2024-03-23 08:56:58+00:00,2024-03-25 20:42:05+00:00,2024-03-25 20:42:05+00:00,update servers_v7.json
9668,closed,2024-03-23 05:33:05+00:00,,2024-03-23 08:52:51+00:00,update servers_v7.json
9667,closed,2024-03-23 04:40:49+00:00,,2024-04-02 09:48:40+00:00,"allow fetching unit by type, and build without type"
9666,closed,2024-03-23 02:30:39+00:00,2024-03-25 17:31:03+00:00,2024-03-25 17:31:03+00:00,`produce` objective should also be automatically added to liquids (json)
9665,closed,2024-03-22 10:23:30+00:00,2024-04-11 21:56:34+00:00,2024-04-11 21:56:34+00:00,"custom rules dialog enhancement, small fixes"
9664,open,2024-03-21 13:25:06+00:00,,,added itemdurationmultipliers to consumegenerator
9662,closed,2024-03-21 10:42:30+00:00,2024-03-25 20:42:15+00:00,2024-03-25 20:42:15+00:00,fix poly
9661,closed,2024-03-21 00:39:37+00:00,2024-03-21 00:42:45+00:00,2024-03-21 00:42:45+00:00,update servers_v7.json
9660,closed,2024-03-21 00:14:15+00:00,2024-03-21 00:15:06+00:00,2024-03-21 00:15:07+00:00,uk server finally working (probably)
9655,closed,2024-03-19 08:55:10+00:00,2024-03-19 18:27:17+00:00,2024-03-19 18:27:17+00:00,update servers_v7.json
9654,closed,2024-03-19 02:35:41+00:00,2024-03-30 04:11:39+00:00,2024-03-30 04:11:39+00:00,better ability stats
9653,closed,2024-03-18 11:33:25+00:00,2024-03-18 13:30:30+00:00,2024-03-18 13:30:30+00:00,update servers_v7.json
9650,closed,2024-03-18 07:19:30+00:00,2024-03-18 13:30:18+00:00,2024-03-18 13:30:18+00:00,"make a ""unitcommandposition"" event so that unit commands issued to non-attack coordinates can still be listened for"
9647,open,2024-03-17 17:13:36+00:00,,,allow for overriding shield colours
9646,closed,2024-03-16 12:16:53+00:00,2024-03-16 14:49:13+00:00,2024-03-16 14:49:13+00:00,update servers_v7.json
9644,closed,2024-03-15 16:47:46+00:00,2024-03-16 04:17:17+00:00,2024-03-16 04:17:17+00:00,moving more ports from uk to eu
9642,closed,2024-03-15 09:11:51+00:00,2024-03-15 15:08:23+00:00,2024-03-15 15:08:23+00:00,full icon overrides
9639,closed,2024-03-13 12:30:30+00:00,2024-03-16 04:17:41+00:00,2024-03-16 04:17:41+00:00,update servers_v7.json
9636,closed,2024-03-11 13:29:37+00:00,2024-03-16 04:17:49+00:00,2024-03-16 04:17:49+00:00,update servers_v7.json
9633,open,2024-03-10 20:13:35+00:00,,,better power gen stat display
9631,closed,2024-03-09 17:57:18+00:00,2024-03-10 13:51:15+00:00,2024-03-10 13:51:15+00:00,update servers_v7.json
9630,closed,2024-03-09 17:01:28+00:00,2024-03-09 22:56:58+00:00,2024-03-09 22:56:58+00:00,update bundle_ca.properties
9629,closed,2024-03-09 08:12:04+00:00,2024-03-09 22:57:52+00:00,2024-03-09 22:57:52+00:00,update servers_v7.json
9627,closed,2024-03-08 17:56:27+00:00,2024-03-08 18:14:36+00:00,2024-03-08 18:14:36+00:00,update servers_v7.json
9626,closed,2024-03-08 17:49:59+00:00,2024-03-09 23:01:32+00:00,2024-03-09 23:01:32+00:00,update servers_v7.json
9625,open,2024-03-07 21:51:39+00:00,,,update bundle_cs.properties
9624,open,2024-03-07 14:38:32+00:00,,,update bundle_lt.properties
9621,closed,2024-03-04 05:51:09+00:00,2024-03-14 18:25:03+00:00,2024-03-14 18:25:03+00:00,weather with world logic
9620,closed,2024-03-03 16:58:43+00:00,,2024-03-03 17:22:35+00:00,update servers_v7.json
9619,closed,2024-03-03 16:57:04+00:00,,2024-03-03 16:57:22+00:00,update servers_v7.json
9617,closed,2024-03-03 14:22:05+00:00,2024-03-03 14:59:12+00:00,2024-03-03 14:59:12+00:00,moving rapid pvp from uk to europe
9616,closed,2024-03-03 13:07:35+00:00,2024-03-14 16:12:29+00:00,2024-03-14 16:12:29+00:00,allow categorized sprite names to not be prefixed.
9615,closed,2024-03-03 11:26:24+00:00,2024-03-03 14:10:49+00:00,2024-03-03 14:10:49+00:00,update servers_v7.json
9614,closed,2024-03-03 10:19:09+00:00,2024-03-09 16:05:26+00:00,2024-03-09 16:05:26+00:00,update bundle_hu.properties
9613,closed,2024-03-03 07:42:20+00:00,2024-03-03 17:22:45+00:00,2024-03-03 17:22:46+00:00,update servers_v7.json
9612,closed,2024-03-03 05:10:37+00:00,2024-03-03 05:29:03+00:00,2024-03-03 05:29:03+00:00,add shield to settable list
9610,closed,2024-03-02 15:48:29+00:00,2024-03-02 15:49:11+00:00,2024-03-02 15:49:11+00:00,cleanup gamestate
9609,closed,2024-03-02 15:25:55+00:00,2024-03-02 15:57:33+00:00,2024-03-02 15:57:33+00:00,"update bundle_hu.properties, description.txt and full_description.txt"
9608,closed,2024-03-02 13:35:55+00:00,,2024-03-03 17:22:49+00:00,update servers_v7.json
9606,closed,2024-03-02 12:36:58+00:00,,2024-03-02 13:33:56+00:00,update servers_v7.json
9604,closed,2024-03-02 01:59:38+00:00,2024-03-02 02:13:55+00:00,2024-03-02 02:13:55+00:00,one last ip/port update for atomic servers
9603,closed,2024-03-01 21:49:15+00:00,,2024-03-01 22:11:10+00:00,[amended] add diagonal symmetry compat
9602,closed,2024-03-01 14:41:12+00:00,2024-03-01 14:42:30+00:00,2024-03-01 14:42:30+00:00,agua  iv
9601,closed,2024-03-01 13:50:46+00:00,2024-03-01 14:42:05+00:00,2024-03-01 14:42:05+00:00,per-tile edge regions
9600,closed,2024-02-29 12:41:13+00:00,,2024-02-29 12:42:21+00:00,update servers_v7.json
9599,closed,2024-02-28 18:44:42+00:00,2024-03-01 17:50:28+00:00,2024-03-01 17:50:28+00:00,shader getshaderfi check for mod files
9598,closed,2024-02-28 17:28:56+00:00,2024-02-28 18:25:03+00:00,2024-02-28 18:25:03+00:00,update servers_v7.json
9594,closed,2024-02-26 13:39:40+00:00,,2024-03-13 08:53:22+00:00,update bundle_ko.properties
9593,closed,2024-02-25 20:22:03+00:00,,2024-02-25 20:40:37+00:00,add diagonal symmetry compat
9590,closed,2024-02-24 14:27:41+00:00,2024-02-24 14:36:54+00:00,2024-02-24 14:36:54+00:00,update servers_v7.json
9589,closed,2024-02-24 04:31:39+00:00,2024-02-24 04:50:55+00:00,2024-02-24 04:50:55+00:00,update servers_v7.json
9588,closed,2024-02-23 20:13:02+00:00,2024-02-23 22:11:26+00:00,2024-02-23 22:11:26+00:00,update servers_v7.json
9585,closed,2024-02-23 08:16:31+00:00,2024-02-23 14:45:33+00:00,2024-02-23 14:45:33+00:00,update servers_v7.json
9584,closed,2024-02-22 16:54:41+00:00,2024-02-22 17:53:31+00:00,2024-02-22 17:53:31+00:00,yay dynamic ip
9583,closed,2024-02-22 07:15:14+00:00,2024-02-26 14:34:37+00:00,2024-02-26 14:34:37+00:00,update bundle_zh_cn.properties
9582,closed,2024-02-22 03:25:21+00:00,2024-02-22 04:23:41+00:00,2024-02-22 04:23:41+00:00,update servers_v7.json
9581,closed,2024-02-22 02:42:28+00:00,2024-02-23 22:11:00+00:00,2024-02-23 22:11:00+00:00,improve armorplateability draw
9579,closed,2024-02-21 13:40:19+00:00,2024-02-21 15:07:47+00:00,2024-02-21 15:07:47+00:00,update servers_v7.json
9578,closed,2024-02-21 13:39:10+00:00,,2024-02-21 13:39:26+00:00,update servers_v7.json
9577,closed,2024-02-21 01:26:43+00:00,2024-02-28 18:33:59+00:00,2024-02-28 18:33:59+00:00,update servers_v7.json
9576,closed,2024-02-20 17:23:19+00:00,2024-02-20 19:59:08+00:00,2024-02-20 19:59:08+00:00,update servers_v7.json
9575,closed,2024-02-20 11:32:41+00:00,,2024-02-20 16:14:41+00:00,update servers_v7.json
9574,closed,2024-02-20 11:05:18+00:00,,2024-02-20 14:50:15+00:00,update servers_v7.json
9568,closed,2024-02-17 19:44:08+00:00,2024-02-17 20:48:34+00:00,2024-02-17 20:48:34+00:00,delegate more methods into planet
9567,closed,2024-02-17 12:15:26+00:00,2024-02-17 14:04:17+00:00,2024-02-17 14:04:17+00:00,update servers_v7.json
9560,closed,2024-02-16 09:18:22+00:00,2024-03-31 03:24:24+00:00,2024-03-31 03:24:24+00:00,translate & revert vietnamese translation
9559,closed,2024-02-16 09:01:06+00:00,2024-02-16 14:52:41+00:00,2024-02-16 14:52:41+00:00,gammar & context fix
9557,closed,2024-02-16 07:25:28+00:00,2024-02-16 14:52:31+00:00,2024-02-16 14:52:31+00:00,make privileged switchblock(world switch) can't pickup
9556,open,2024-02-14 20:33:25+00:00,,,serpulo turret animations
9555,closed,2024-02-14 20:19:14+00:00,,2024-02-14 20:25:18+00:00,turret animations
9554,closed,2024-02-14 19:38:10+00:00,,2024-02-14 19:46:09+00:00,serpulo turret animations
9553,closed,2024-02-14 12:41:19+00:00,2024-02-14 15:04:55+00:00,2024-02-14 15:04:55+00:00,increase visibility of `makerect()`
9550,open,2024-02-14 07:06:16+00:00,,,"extend logic `read` and `write`,support targeting `logicbuild`"
9549,closed,2024-02-14 02:08:00+00:00,2024-02-14 04:17:41+00:00,2024-02-14 04:17:41+00:00,fix mobile input message (textinput::message)
9547,closed,2024-02-13 20:22:28+00:00,2024-04-09 14:52:42+00:00,2024-04-09 14:52:42+00:00,run applycolor before drawing unit parts
9546,closed,2024-02-13 19:14:47+00:00,,2024-02-14 13:37:18+00:00,foreshadow anims
9545,closed,2024-02-13 18:31:37+00:00,2024-02-17 16:23:25+00:00,2024-02-17 16:23:25+00:00,allow gasses to be coolants
9544,closed,2024-02-13 13:17:36+00:00,2024-03-01 16:12:13+00:00,2024-03-01 16:12:13+00:00,update bundle_hu.properties
9543,closed,2024-02-13 05:59:56+00:00,2024-02-13 13:24:48+00:00,2024-02-13 13:24:48+00:00,shfdkjhgkjdhskjgdfhjghjkdhfgjfh
9542,closed,2024-02-13 03:25:07+00:00,,2024-02-14 13:37:28+00:00,meltdown anims
9541,closed,2024-02-13 03:02:56+00:00,2024-02-13 04:32:30+00:00,2024-02-13 04:32:30+00:00,layer options in drawturret
9540,closed,2024-02-12 04:03:00+00:00,,2024-02-14 13:37:36+00:00,ripple animation
9536,closed,2024-02-11 10:53:10+00:00,2024-02-11 13:52:14+00:00,2024-02-11 13:52:14+00:00,update servers_v7.json
9533,closed,2024-02-10 17:02:04+00:00,2024-02-10 18:07:04+00:00,2024-02-10 18:07:04+00:00,update servers_v7.json
9532,closed,2024-02-10 16:04:46+00:00,2024-02-10 16:39:47+00:00,2024-02-10 16:39:47+00:00,update bundle_hu.properties
